issue_num,datetime,body,login,mention_login
154,2017-03-04 10:19:04,"Hey @ptmt I was just about to reply - you are totally correct, I have deleted the folder and it's now working!

I was quite confused as the README.md in Examples/UIEXplorer says to clone and install react-native.

Thank you for your help by the way!",axsauze,ptmt
153,2017-02-27 18:17:33,"@ptmt could be the case! My logic was faulty, I was rendering an image with an invalid source (because the source was loaded w/ state). 

Any way I can help with upgrading? or is that a relatively massive undertaking",ColeTownsend,ptmt
149,2017-02-16 18:29:07,"@ptmt Thanks for the fast reply.

I tried to link [React Native I18n](https://github.com/AlexanderZaytsev/react-native-i18n).

Really all I need support for getting the user's language. On the web I'd use something like `navigator.language`.

Would you be able to share how I might approach getting that on macOS?",c-h-,ptmt
140,2017-02-04 22:13:08,@ptmt I would actually say to add both sections in there. `Real World Examples` can be any source code repo of actual idiomatic applications built with RN for macOS and `Built with RN for macOS` can be implemented/added when we have actual applications in production. I'm working on a simple app that demonstrates how to use RN for macOS (still working on figuring out routing solution with ReactNavigation or another library of the sort) so we can add that to the Examples lists too.,andrerfneves,ptmt
139,2017-02-01 16:08:27,"@ptmt I don't have many requirements. Anything that would handle `push` to a navigation stack, or of the sort would suffice. Basically just any library that would have the same approach to routing as any of the libraries I mentioned above. I haven't yet tried NavigationExperimental though. Have you had any success with that?",andrerfneves,ptmt
139,2017-02-01 16:12:14,"Yes, I changed default scene transitioner (basically, animation), but
overall it integrates nicely with Redux and codebase can be shared with
iOS. Although, RN for macOS has many flaws and still not ready for
production. You should be prepared for some of them: processing a lot of
view layers can be painfully slow, bugs with events, lack of some must-have
Cocoa native controls.

On Wed, 1 Feb 2017 at 19:08 André Neves <notifications@github.com> wrote:

> @ptmt <https://github.com/ptmt> I don't have many requirements. Anything
> that would handle push to a navigation stack, or of the sort would
> suffice. Basically just any library that would have the same approach to
> routing as any of the libraries I mentioned above. I haven't yet tried
> NavigationExperimental though. Have you had any success with that?
>
> —
> You are receiving this because you were mentioned.
>
>
> Reply to this email directly, view it on GitHub
> <https://github.com/ptmt/react-native-macos/issues/139#issuecomment-276699089>,
> or mute the thread
> <https://github.com/notifications/unsubscribe-auth/AA9SU44bgchtkFAxn9U61TS_ISzLyj2Qks5rYK39gaJpZM4L0CkE>
> .
>
",ptmt,ptmt
139,2017-02-01 17:15:26,@ptmt awesome! I'll take a look at these. This helps a lot. Please keep me posted on any ventures you take into ReactNavigation though. As I believe RN Core could eventually settle on ReactNavigation if it becomes the defacto router for RN-based apps. Cheers!,andrerfneves,ptmt
139,2017-02-16 03:30:33,"@andrerfneves (cc @ptmt) I've been working on a side project that uses every platform variant of react native. The router solution I settled on was using [React Navigation](https://github.com/react-community/react-navigation) since it's fully featured and handles everything from deep linking to redux integration to web URL support. It utilizes native navigation stacks on iOS and Android, and it's easy to extend with your own routers/navigators/views. Only problem is the documentation is pretty limited and not super clear - I had to trawl through source to build my own navigator. I built a non-native-powered router (just Views etc) that I'm using for web, macOS, and Windows, but you could easily build a ""native"" one assuming you can access the APIs from React Native. I'll publish my project in the next week or two.

I'm only raving because I remember when React Native Android came out and there was no usable solution at the time, so I'm quite pleased that such a well-thought out project is finally coming together.",c-h-,andrerfneves
139,2017-02-16 03:30:33,"@andrerfneves (cc @ptmt) I've been working on a side project that uses every platform variant of react native. The router solution I settled on was using [React Navigation](https://github.com/react-community/react-navigation) since it's fully featured and handles everything from deep linking to redux integration to web URL support. It utilizes native navigation stacks on iOS and Android, and it's easy to extend with your own routers/navigators/views. Only problem is the documentation is pretty limited and not super clear - I had to trawl through source to build my own navigator. I built a non-native-powered router (just Views etc) that I'm using for web, macOS, and Windows, but you could easily build a ""native"" one assuming you can access the APIs from React Native. I'll publish my project in the next week or two.

I'm only raving because I remember when React Native Android came out and there was no usable solution at the time, so I'm quite pleased that such a well-thought out project is finally coming together.",c-h-,ptmt
139,2017-02-18 16:30:03,@c-h- that's great news. Looking forward to it. Please do let us know when you have some source code up as I'd love to get a feel for the tool.,andrerfneves,c-h-
