issue_num,datetime,body,login,mention_login
4774,2017-03-28 00:36:44,"Hi @sirvon. Thanks for writing in. I wanted to let you know that someone will review what you've shared and follow-up with you soon. In the meantime, would you be able to provide us with the actual version of Realm you're using (since ""Latest"" can change between response times) as well as the iOS or macOS version you're compiling for. Thanks.",istx25,sirvon
4772,2017-03-28 00:37:59,Hi @scottazord! I wanted to let you know that we've received your question and that someone will follow-up with you hear and provide an answer soon. Still working through the backlog from the weekend and whatnot. Thanks!,istx25,scottazord
4770,2017-03-24 23:59:26,@bdash I just completed the CLA. I hope you are fine with the changes I made since I opened this pull request.,0xced,bdash
4769,2017-03-24 19:51:36,"Hi @santhoshs5!

Yep! If you want to delete all objects of a particular type, but preserve the rest of the contents of a Realm file, you can query for just those objects and then delete them manually.



I hope that helped! Let me know if you have any more questions. :)",TimOliver,santhoshs5
4769,2017-03-25 03:47:59,"As @TimOliver mentioned, you can do what you're after by combining `Realm.objects(_:)` and `Realm.delete(_:)`.



This only differs in a minor way from the syntax you're requesting, and provides the behavior you're after. Is there some reason you take issue with it?",bdash,TimOliver
4769,2017-03-25 14:00:29,Thanks @bdash ,santhoshs5,bdash
4768,2017-03-24 20:03:43,"Hi @tbaranes! Thanks for the info! Sorry to hear you're having some trouble here.

There's probably not a lot we can do without a sample app to let us properly examine what's going on here. Would you even be able to post some sample code of the actual write transaction that's causing this failure? You can email it to `help@realm.io` if you need to keep it private.

Thanks!",TimOliver,tbaranes
4766,2017-03-24 16:47:06,Hey @bb-git! Thanks for reaching out. I wanted to let you know that we've seen your message and that someone will follow-up with you as soon as we can.,istx25,bb-git
4766,2017-03-24 20:38:38,"Hi there @bb-git! Can you please give us some more information? Sample code would be the best.

Specifically, can you show us your model objects both before and after you updated them, as well as how you've set up the migration block? Thanks a lot!",TimOliver,bb-git
4766,2017-03-25 00:16:58,"I can attach some code soon. But the strange thing is, the data that is lost is a realm model, that was not changed at all. Another model was changed with the update. The migration block is empty, I just increased the version number. 


> Am 25.03.2017 um 03:38 schrieb Tim Oliver <notifications@github.com>:
> 
> Hi there @bb-git! Can you please give us some more information? Sample code would be the best.
> 
> Specifically, can you show us your model objects both before and after you updated them, as well as how you've set up the migration block? Thanks a lot!
> 
> —
> You are receiving this because you were mentioned.
> Reply to this email directly, view it on GitHub, or mute the thread.
> 
",bb-git,bb-git
4765,2017-03-24 16:44:15,@kajensen: Please follow-up on that issue showing your support for the feature. :) Closing this issue since it's basically a duplicate.,istx25,kajensen
4762,2017-03-23 19:00:05,"To add to what @Zhuinden mentioned, I also recommend looking at the ""Threading"" section of the documentation but especially the subsection titled: [Passing Instances Across Threads](https://realm.io/docs/swift/latest/#passing-instances-across-threads). As of v2.2.0, you can pass instances across threads using the `ThreadSafeReference` object.

Please let us know if you have any questions.",istx25,Zhuinden
4761,2017-03-23 18:48:30,"Hi @grangej. Thanks for reaching out about this. I wanted to let you know that we've seen your issue and that someone will be following-up with you soon. While you wait, would you be able to provide us with exactly which Realm version you're using (and not just ""Latest"") since sometimes we send out updates in between response times. Thanks!",istx25,grangej
4761,2017-03-23 19:30:48,"@istx25 Thank you for following up. 

The versions that we are using here are:



We have ran some additional tests this morning and have some additional findings: 

If you create two background threads even AFTER the subscription only one of them seems to emit changes. 

For example, the following code only one of the changes will ever be observed. 



If we change the code to the following though both changes will be seen:

",grangej,istx25
4761,2017-03-24 20:53:01,Hi @grangej! I can't help but feel like this might be an issue more on RxRealm's side of things than Realm Swift directly. Have you considered [filing an issue on the RxRealm repo](https://github.com/RxSwiftCommunity/RxRealm/issues)?,TimOliver,grangej
4761,2017-03-24 23:51:20,@TimOliver Let me test with straight realm code and I will let you know.,grangej,TimOliver
