issue_num,datetime,body,login,mention_login
4770,2017-03-24 23:59:26,@bdash I just completed the CLA. I hope you are fine with the changes I made since I opened this pull request.,0xced,bdash
4769,2017-03-25 03:47:59,"As @TimOliver mentioned, you can do what you're after by combining `Realm.objects(_:)` and `Realm.delete(_:)`.



This only differs in a minor way from the syntax you're requesting, and provides the behavior you're after. Is there some reason you take issue with it?",bdash,TimOliver
4769,2017-03-25 14:00:29,Thanks @bdash ,santhoshs5,bdash
4761,2017-03-24 23:51:20,@TimOliver Let me test with straight realm code and I will let you know.,grangej,TimOliver
4761,2017-03-27 17:34:00,"@TimOliver You are correct I tried the following code: and it works , but looking at the RxRealm code for changeset it makes no sense why it would not work. I stepped through the code in RxRealm and the observer is never receiving one of the notifications in the notification block. So I still think this is a RealmSwift issue since the RxRealm code block never receives one of the update notifications for some reason. Thread issue? Race condition? Something funny here. 

`          
// This does not work, I end up losing one of the notifications (in the middle in this case)

 let changeNote = Observable.changeset(from: operations, synchronousStart: false).share()
 changeNote.subscribe(onNext: { (objects, changes) in
                
                
                print(objects.first?.taskState)
                
                if changes != nil {
                    
                    print(""Updates received "")
                    
                    
                    count = count + 1
                }
                
                
                
            }, onError: { (error) in
                
                print(""error: \(error.localizedDescription)"")
                
            }, onCompleted: {
                
                print(""complete"")
                
            }, onDisposed: {
                
                print(""Disposed"")
                
            }).addDisposableTo(self.disposeBag)`


// for reference the relevant RxRealm code

    public static func collection(from collection: E, synchronousStart: Bool = true) -> Observable<E> {
        return Observable.create {observer in
            if synchronousStart {
                observer.onNext(collection)
            }

            let token = collection.addNotificationBlock {changeset in

             // THIS Block never gets called for some updates when I set breakpoint in here. 

                let value: E

                switch changeset {
                    case .initial(let latestValue):
                        guard !synchronousStart else { return }
                        value = latestValue

                    case .update(let latestValue, _, _, _):
                        value = latestValue

                    case .error(let error):
                        observer.onError(error)
                        return
                }

                observer.onNext(value)
            }

            return Disposables.create {
                token.stop()
                observer.onCompleted()
            }
        }
    }
`

// this does work, but I suspect that it may be simply a timing issue so it may not /always/ work.
            self.realmToken = operations.addNotificationBlock({ (changes) in
                
                
                switch changes {
                    
                case .update(let objects, deletions: let deletions, insertions: let insertions, modifications: let modifications):
                    
                    count = count + 1
                    
                    print(""Realm Update Notification"")
                    
                    print(""Modifications: \(modifications)"")
                    print(""Deletions: \(deletions)"")
                    print(""insertions: \(insertions)"")
                    
                    print(""Updated Objects: \(objects)"")
                    
                    for object in objects {
                        
                        if !fulfilled {
                            
                            print(""Object TaskState: \(object.taskState)"")
                            
                            if object.taskState == .Finished {
                                
                                fulfilled = true
                                waitForStart.fulfill()
                            }
                            
                        }
                        
                    }
                    
                case .initial(let objects):
                    
                    print(""Realm Initial Notification"")
                    
                    print(objects)
                    
                case .error(let error):
                    
                    print(""Error: \(error.localizedDescription)"")
                    
                    
                }
                
                
            })

`",grangej,TimOliver
4750,2017-03-21 11:08:28,"@stel Hi,
I implemented both your changes as requested, but with the exact same result.

> Assertion failure in -[UICollectionView _endItemAnimationsWithInvalidationContext:tentativelyForReordering:], /SourceCache/UIKit/UIKit-3347.44.2/UICollectionView.m:3870
> 2017-03-21 12:07:50.029 promobutler-ios[1433:244897] *** Terminating app due to uncaught exception 'NSInternalInconsistencyException', reason: 'attempt to delete item 49 from section 0 which only contains 4 items before the update'
> *** First throw call stack:
> (0x2708a137 0x35514c77 0x2708a00d 0x27d89bc9 0x2aceade3 0x2acee8ab 0x2acee70f 0x2a8ab05b 0x20298c 0x276d670 0x276d7a8 0x27339a4 0x1fedb71 0x1fed735 0x1f68bc9 0x1f68b33 0x1f5f765 0x1f5f66d 0x1fa4873 0x20f92c7 0x215b8b9 0x215c115 0x215c101 0x2705022f 0x2704f643 0x2704dcc1 0x26f999a1 0x26f997b3 0x2e95b1a9 0x2a74a635 0x1a85c0 0x35ae2aaf)
> libc++abi.dylib: terminating with uncaught exception of type NSException ",CedricVanAsch,stel
4750,2017-03-21 13:19:30,"@stel what exactly do you mean with check the indexes in the notification handler? 
So this is what I got for the numbers. the 0 153 represents the section (0) and the items (153)



the prints from my logs
> Get numberOfItemsInSection 0 153
data from didSelectItem -> Producer {
	id = 1234;
	name = ALDI;
	nameNL = ALDI;
	nameFR = ;
	logoUrl = mockupurl.com;
	siteUrl = mockupurl.com;
	favorite = 1;
}
modifying: 3
Get numberOfItemsInSection 0 153
2017-03-21 14:16:07.631 promobutler-ios[1602:265648] *** Assertion failure in -[UICollectionView _endItemAnimationsWithInvalidationContext:tentativelyForReordering:], /SourceCache/UIKit/UIKit-3347.44.2/UICollectionView.m:3870
2017-03-21 14:16:07.940 promobutler-ios[1602:265648] *** Terminating app due to uncaught exception 'NSInternalInconsistencyException', reason: 'attempt to delete item 49 from section 0 which only contains 4 items before the update'
*** First throw call stack:
(0x2708a137 0x35514c77 0x2708a00d 0x27d89bc9 0x2aceade3 0x2acee8ab 0x2acee70f 0x2a8ab05b 0x1ed6bc 0x2758670 0x27587a8 0x271e9a4 0x1fd8b71 0x1fd8735 0x1f53bc9 0x1f53b33 0x1f4a765 0x1f4a66d 0x1f8f873 0x20e42c7 0x21468b9 0x2147115 0x2147101 0x2705022f 0x2704f643 0x2704dcc1 0x26f999a1 0x26f997b3 0x2e95b1a9 0x2a74a635 0x1932f0 0x35ae2aaf)
libc++abi.dylib: terminating with uncaught exception of type NSException
",CedricVanAsch,stel
4749,2017-03-19 00:34:48,"@mihailsalari: I wanted to chime in here and affirm that @bdash's example ([available here](https://gist.github.com/bdash/799e9c496d387bda98e196289e2def71)) indeed works and that I also saw an object returned during my own testing.

We are happy to help you resolve this (and any other) issue you may experience (now or in the future) but I/we don't appreciate the personal attacks on @bdash or anyone else. 

**Please take some time to read through [Realm's Code of Conduct](https://realm.io/conduct).**",istx25,bdash
4747,2017-03-20 02:38:07,"@jpsim I think this is largely to do with Realm not complaining when setting a relationship from a different realm. i.e:


Resolution for above exception is:

",markst,jpsim
4744,2017-03-21 16:10:04,Sorry for the disruption @austinzheng. This PR just happened to be the first one I found during my tests earlier today.,emanuelez,austinzheng
4744,2017-03-21 16:20:12,"No worries @emanuelez, I just didn't want you to be misled because of all the failures :).",austinzheng,emanuelez
4740,2017-03-16 17:33:18,"As @tgoyne mentioned, your `List<T>` properties should be declared with `let` rather than `var` as assigning directly to them has no effect. Using `let` will catch this problem at compile time. Instead of assigning to a `List<T>` property, you should instead mutate it in place.",bdash,tgoyne
4739,2017-03-20 14:46:31,"Hello back @austinzheng, @teotwaki, @istx25 

Can you give me a full example on how to get data?
I am mostly intrigued on how to use this on  given array, when i call the mobile DB for updates. 
(think about updates on a chat room - which can be a very good example on how to move this data async)

Objective-c obviously - might be old-school but i am looking fwd into implementing this

Thanks,
Chris",i-am-chris,austinzheng
4735,2017-03-14 21:25:03,"@bdash Yep, ended up finding similar info here right before you commented: https://www.nginx.com/blog/websocket-nginx/

Seems to be getting me further now, but still won't connect. Getting messages about ""Using already open Realm file"" and then it closes the Realm file and I get this: ""Sync: Connection[3]: Session[1]: Sending: UNBIND""

Still probably something up with my Nginx config, but at least I'm getting closer. Maybe I'm not forwarding all necessary headers or something.

For what it's worth I tried the exact location block from your link as well as what I had tried based on the info I found and am getting similar issues.

Anyway once I get it working I'll post my complete config.",einsteinx2,bdash
4734,2017-03-15 22:12:47,"@bdash Yep, that was it! Looks to be working now.

In any case, that seems like a bug, no? I would expect to be able to change log levels at any time, or at the very least have the new log level take effect the next time a Realm is created. Same with the error handler.

At the very least, it's a documentation bug. There's no mention of this requirement in either the Swift logging section (which just says: ""The synchronization subsystem supports a number of logging levels, useful while developing an app. These can be selected by setting the logLevel property on the SyncManager singleton to the desired verbosity"") or the Realm Object Server documentation Logging section which is linked to from the Swift docs for more information (btw that link takes you to the top of the documentation rather than directly to the Logging section which made me assume at first it was a broken link until I found the section myself).",einsteinx2,bdash
