issue_num,datetime,body,login,mention_login
2258,2017-03-17 15:59:57,"@chriseppstein Are you kidding me? I already answered this in prev reported issue, I tired that with colon too. also I mentioned here!",dehghani-mehdi,chriseppstein
2257,2017-03-14 05:26:35,"@chriseppstein I tired that before reporting this issue, do you closing other issues like this?",dehghani-mehdi,chriseppstein
2248,2017-02-23 14:47:43,"Thanks @nex3, I can use something less flexible for now but your tip is good to know!",NicolasGraph,nex3
2244,2017-02-13 10:23:38,@clarcharr thanks,evilebottnawi,clarcharr
2240,2017-02-08 19:00:40,"Thanks @mprins.

I have solved the problem in the following way:

I define a `Constants.scss` file with all of my Constants, and at the top of each module that uses the constants, a simple `@import` does the trick:

In `Constants.scss`:


In `Foo.scss`:


I think I was overthinking the problem. So I will close this issue. If someone feels I am really onto something here, then feel free to reopen. 😄 
",radiovisual,mprins
2239,2017-02-08 12:53:53,"@nex3 
Well, this results in my `.component h1:first-child` to have a `margin-top` of `8px`, and my `.component h1:last-child` a `margin-bottom` of `8px`. How would I go about coding that whilst also keeping my code DRY? ",CupOfTea696,nex3
2239,2017-02-09 14:27:16,"@nex3 awesome, thanks",CupOfTea696,nex3
2236,2017-02-07 08:48:55,"@nex3 well than it should have. There are a lot of issues caused by missing concept for log levels. Because there is some kind of ""log level"" with `@error` `@warn` and `@debug` but there is not concept for it.",DaSchTour,nex3
2236,2017-02-09 08:00:55,"@nex3 well, looks like a nice idea. How do I manage to control this on a CI level? How can I change the variable depending on if the build is done locally or on CI server?",DaSchTour,nex3
2235,2017-02-02 23:25:26,@tony19 can you confirm the output is broken in the Ruby Sass 3.5. RC and Sass 4.0.0-alpha1?,xzyfer,tony19
2235,2017-02-02 23:47:53,"@xzyfer <del>Only</del> Sass 3.5 RC <ins>and 4.0.0-alpha.1.edec1af</ins> (and `dart-sass`) produce the correct output.

 * `3.4.23` ❌ 


 * `3.5.0-rc.1.3983be8`  ✅ 


 * `4.0.0.alpha.1.af6c039` ❌ 


 * <ins>`4.0.0-alpha.1.edec1af` ✅ 

</ins>",tony19,xzyfer
2235,2017-02-02 23:50:19,"Thanks @tony19. My guess the 4.0 failure is just because the latest updates haven't been merged into that branch.

As for node-sass we have an issue for this in https://github.com/sass/libsass/issues/2076",xzyfer,tony19
2234,2017-02-14 01:53:52,"@nex3 Thanks for the reference, I didn't realize it was explained there. I was wondering why you decided to treat null variables as unassigned when using the !default flag? Following that definition shouldn't something like:

output:

As of now it doesn't output anything since $color is now null. Is the behavior in the first comment something you would consider adding as a feature? I think it fits better with the way !default behaves. The syntax $someVar: null !default; is written like you are assigning a value to a variable. If you wanted to declare a variable without an assignment, perhaps another type of syntax should be used.",pat270,nex3
2225,2017-01-14 19:21:02,@yoostk is right: the actual output and your expected output are semantically identical.,nex3,yoostk
2220,2017-01-12 02:19:08,@nex3 This makes sense now. I was scratching my head why it wasn't working. Thanks for your help!,jwandrews,nex3
2219,2017-01-06 23:31:18,"@nex3 is this purely-cosmetic? Looks like it changes the semantics of the output CSS


vs
",xzyfer,nex3
2218,2017-01-06 03:55:12,"I was going to propose the following for the fix for this issue:



But I just tried this on my local and it doesn't eliminate the warning.  I also tried splitting the ""Integer"" and ""Fixnum"" references into separate 'when' clauses (with ""Integer"" first), and that didn't eliminate the warning either.

The only thing that worked was to delete the ""Fixnum"" clause altogether, and replace it with an ""Integer"" clause.  I tried this both with Ruby 2.4.0 and Ruby 2.3.1, and it worked in both cases.  I don't want to dig any deeper before getting the core team's thoughts on the above.  If it sounds good to y'all, I can submit a PR ASAP.  Cheers @chriseppstein and @nex3. :-)

I see the 'json_value_of' method, and specifically its handling of the Fixnum class, is already covered by tests in 'util_test.rb'.  Looks like the same case would cover Integers as well for Ruby 2.4.0.  I'd like to be able to verify that before submitting a PR by running the same command that @sinkaszab mentioned (sass filenameA.scss filenameA.css), but am unsure how to ",richiethomas,sinkaszab
2218,2017-01-06 14:21:38,"@sinkaszab I'm wondering if removing the reference to the deprecated class would be a breaking change for users of older Ruby versions.  I tested Ruby 2.3.1 yesterday (no problems there) and today I'll test 2.0.0 and 1.9.3, provided this project still supports those versions.  If those versions behave the same with the Integer class, I can't think of anything else which would stop us from just switching Fixnum to Integer.  Then again, I'm still learning as well. :-)  Let's see what the core team has to say.",richiethomas,sinkaszab
2218,2017-01-07 06:40:50,"@nex3 it looks like all but one of the Fixnum references are in comments which describe the type of data returned from a method.  The one reference to Fixnum inside actual executable code, when changed to Integer, does not break any tests, and the binary continues to compile .scss files to .css for all the Ruby versions I tested (1.8.7, 1.9.3, 2.0.0, 2.3.1, and 2.4.0).

What do you think of having Fixnum-related comments which apply to versions earlier than 2.4, and Integer-related comments which apply to 2.4 and above?",richiethomas,nex3
2218,2017-01-07 18:10:37,"@sinkaszab looks like you're right, going all the way back to at least 1.8.7.",richiethomas,sinkaszab
2218,2017-01-07 21:59:21,@richiethomas I think it's fine to just update the comments to be `Integer` instead for all versions.,nex3,richiethomas
2218,2017-01-07 22:20:59,"@nex3 OK will do.  When I was familiarizing myself with the comments, I had questions about the following 2 items:

1) In error.rb, there's a ""sass_mixin"" method which is meant to return an integer.  However, when I looked for this method in the MiniTest test suite (specifically, engine_test.rb line 403), I noticed an equality assertion comparing the return value of ""sass_mixin"" with a String intance.  I ran that test assertion and logged the value of the sass_mixin method, and it was indeed a string.  Does this mean the method should not return a Fixnum nor an Integer, but rather a string?

2) On line 75 of ""staleness_checker.rb"", the ""mtime"" param appears to be an instance of Time, not Fixnum nor Integer.  I determined this by running the relevant MiniTest, similar to #1 above.  Should the documentation be changed accordingly?

I'll do a PR as soon as I have your feedback on the 2 questions above.",richiethomas,nex3
