issue_num,datetime,body,login,mention_login
2258,2017-03-17 15:59:57,"@chriseppstein Are you kidding me? I already answered this in prev reported issue, I tired that with colon too. also I mentioned here!",dehghani-mehdi,chriseppstein
2257,2017-03-14 05:26:35,"@chriseppstein I tired that before reporting this issue, do you closing other issues like this?",dehghani-mehdi,chriseppstein
2248,2017-02-23 14:47:43,"Thanks @nex3, I can use something less flexible for now but your tip is good to know!",NicolasGraph,nex3
2240,2017-02-08 19:00:40,"Thanks @mprins.

I have solved the problem in the following way:

I define a `Constants.scss` file with all of my Constants, and at the top of each module that uses the constants, a simple `@import` does the trick:

In `Constants.scss`:


In `Foo.scss`:


I think I was overthinking the problem. So I will close this issue. If someone feels I am really onto something here, then feel free to reopen. 😄 
",radiovisual,mprins
2239,2017-02-08 12:53:53,"@nex3 
Well, this results in my `.component h1:first-child` to have a `margin-top` of `8px`, and my `.component h1:last-child` a `margin-bottom` of `8px`. How would I go about coding that whilst also keeping my code DRY? ",CupOfTea696,nex3
2239,2017-02-09 14:27:16,"@nex3 awesome, thanks",CupOfTea696,nex3
2236,2017-02-07 08:48:55,"@nex3 well than it should have. There are a lot of issues caused by missing concept for log levels. Because there is some kind of ""log level"" with `@error` `@warn` and `@debug` but there is not concept for it.",DaSchTour,nex3
2236,2017-02-09 08:00:55,"@nex3 well, looks like a nice idea. How do I manage to control this on a CI level? How can I change the variable depending on if the build is done locally or on CI server?",DaSchTour,nex3
2235,2017-02-02 23:47:53,"@xzyfer <del>Only</del> Sass 3.5 RC <ins>and 4.0.0-alpha.1.edec1af</ins> (and `dart-sass`) produce the correct output.

 * `3.4.23` ❌ 


 * `3.5.0-rc.1.3983be8`  ✅ 


 * `4.0.0.alpha.1.af6c039` ❌ 


 * <ins>`4.0.0-alpha.1.edec1af` ✅ 

</ins>",tony19,xzyfer
2234,2017-02-14 01:53:52,"@nex3 Thanks for the reference, I didn't realize it was explained there. I was wondering why you decided to treat null variables as unassigned when using the !default flag? Following that definition shouldn't something like:

output:

As of now it doesn't output anything since $color is now null. Is the behavior in the first comment something you would consider adding as a feature? I think it fits better with the way !default behaves. The syntax $someVar: null !default; is written like you are assigning a value to a variable. If you wanted to declare a variable without an assignment, perhaps another type of syntax should be used.",pat270,nex3
2220,2017-01-12 02:19:08,@nex3 This makes sense now. I was scratching my head why it wasn't working. Thanks for your help!,jwandrews,nex3
2219,2017-01-06 23:31:18,"@nex3 is this purely-cosmetic? Looks like it changes the semantics of the output CSS


vs
",xzyfer,nex3
2218,2017-01-07 06:40:50,"@nex3 it looks like all but one of the Fixnum references are in comments which describe the type of data returned from a method.  The one reference to Fixnum inside actual executable code, when changed to Integer, does not break any tests, and the binary continues to compile .scss files to .css for all the Ruby versions I tested (1.8.7, 1.9.3, 2.0.0, 2.3.1, and 2.4.0).

What do you think of having Fixnum-related comments which apply to versions earlier than 2.4, and Integer-related comments which apply to 2.4 and above?",richiethomas,nex3
2218,2017-01-07 21:59:21,@richiethomas I think it's fine to just update the comments to be `Integer` instead for all versions.,nex3,richiethomas
2218,2017-01-07 22:20:59,"@nex3 OK will do.  When I was familiarizing myself with the comments, I had questions about the following 2 items:

1) In error.rb, there's a ""sass_mixin"" method which is meant to return an integer.  However, when I looked for this method in the MiniTest test suite (specifically, engine_test.rb line 403), I noticed an equality assertion comparing the return value of ""sass_mixin"" with a String intance.  I ran that test assertion and logged the value of the sass_mixin method, and it was indeed a string.  Does this mean the method should not return a Fixnum nor an Integer, but rather a string?

2) On line 75 of ""staleness_checker.rb"", the ""mtime"" param appears to be an instance of Time, not Fixnum nor Integer.  I determined this by running the relevant MiniTest, similar to #1 above.  Should the documentation be changed accordingly?

I'll do a PR as soon as I have your feedback on the 2 questions above.",richiethomas,nex3
2192,2016-12-12 09:49:25,"@nex3 Thanks for reply

It's slightly unclear why HSL has been chosen at first place despite wide popularity of HSV?

It seems to be quite odd pick, since in most cases with Sass works people which, well, having to deal quite a lot with colors, and in most cases they will stumble exactly upon HSV. So, it's unclear why it has been chosen to enforce less popular those days implementation on them.

The extension approach in Sass doesn't work quite well those days, because of environmental differences. Some projects running on Ruby, some on node-sass, and this means that extensions can't be made universally portable that easily.",ArmorDarks,nex3
2192,2016-12-13 10:00:44,"@nex3 Thanks for reply once again

> HSL wasn't chosen so much as inherited. CSS supports it, and we want to be compatible with CSS, so we support it as well.

Ah, I see. Well, then it's quite logical. Too bad that HSL is surprisingly unintuitive and very hard to work with due to lightness shifting other parameters.

> An extension that's written in pure Sass should be plenty portable.

Extensions of such kind written in pure Sass are quite slow due to calculations, even on libsass. I guess it's because a lot of underhood magic happens with types casting and so on. In the end, even `node-sass` function ends to be much cleaner and faster, but less portable.

Considering that some people have very large codebase, trading portability for such resources waste isn't an option too, unfortunately.

Well, I guess it doesn't change anything anyway. Thank you for finding time to take a look at this issue, though, and for Sass, of course :)",ArmorDarks,nex3
2172,2016-10-18 14:38:09,"@HugoGiraudel Are the spaces still useless when they break functionality?
",eaglejohn,HugoGiraudel
2172,2016-10-18 16:02:42,"@HugoGiraudel What's breaking my code then? Since changing the compiling method fixes the issue. On Google I find more issues with webfonts and missing spaces.

@douglasdeodato Thanks, I'll look into it!
",eaglejohn,HugoGiraudel
2172,2016-10-18 18:12:58,"@HugoGiraudel http://www.tamarakingtattoos.com/ the font ""Schluber"" is not loading, although the paths are correct. Path example: http://www.tamarakingtattoos.com/wp/wp-content/themes/tamaraking/fonts/Schluber.eot
",eaglejohn,HugoGiraudel
2172,2016-10-19 17:24:59,"@HugoGiraudel Did you find some time to take a look? The website is live and I can't have it live with the font not loading for much longer...
",eaglejohn,HugoGiraudel
