issue_num,datetime,body,login,mention_login
2679,2017-03-23 14:27:44,"@redapple thanks for this, I was wondering the same. Is this documented somewhere?",eLRuLL,redapple
2679,2017-03-23 16:30:21,"@eLRuLL , not really. I found this mention on [Response.flags](https://doc.scrapy.org/en/latest/topics/request-response.html?#scrapy.http.Response.flags) but that's about it.",redapple,eLRuLL
2669,2017-03-20 15:02:56,@redapple relevant discussion: https://github.com/seomoz/reppy/pull/33,kmike,redapple
2668,2017-03-20 14:57:04,"@redapple Yes, I too thought of the same. :) 
But since there are just 2 requirements for building the docs, do you think adding a requirements.txt would be beneficial?",harshasrinivas,redapple
2668,2017-03-20 16:45:06,"Sure @redapple , adding right away.",harshasrinivas,redapple
2663,2017-03-22 14:49:36,"@kmike One of `parsel`'s member said:
>I don't see a clear generic solution that would fit Parsel, I think right now it's best to handle these cases in the caller code.

So I launched a pull request for `scrapy` project",karlind,kmike
2663,2017-03-23 00:51:58,@kmike I think so and that's exactly what I did before. But question was I couldn't pass through exist unit tests.,karlind,kmike
2661,2017-03-24 12:17:48,hey @redapple @harshasrinivas. Just tested it on Macos with Python 3.5 and confirmed that `make htmlview` doesn't open a browser window if you don't provide a URL scheme.,stummjr,redapple
2658,2017-03-23 20:30:02,"@redapple 
I didn't notice your last sentence until now. The download timeout doesn't kick in at all in my example, the spider seems to hang before that, usually within 3 minutes or so.",rjbks,redapple
2657,2017-03-16 23:01:30,@eLRuLL I really like your idea. I'll get started on it.,jorenham,eLRuLL
2656,2017-03-17 06:17:09,"Hey @kmike 
Thank you for your reply, I updated to scrapy master now, but why repeat the same link will always be downloaded, and the file name is very strange

the download link:
http://m.baidu.com/api?action=redirect&token=kpyysd&from=1014090y&type=app&dltype=new&refid=0605419344&tj=soft_10656291_1528757_root%E6%8E%88%E6%9D%83%E5%A4%A7%E5%B8%88&refp=action_search&blink=bd7d687474703a2f2f612e67646f776e2e62616964752e636f6d2f646174612f7769736567616d652f333930343133303861666538663265652f726f6f7473686f757175616e64617368695f393135302e61706b3f66726f6d3d6131313031cb58&crversion=1&apilevel=22&bdi_bear=WF&bdi_imei=lHqPpO57c84mSArMIpHYMg%253D%253D&bdi_loc=5YyX5Lqs5biC&bdi_uip=182.101.163.98&brand=Yulong&model=Coolpad+5367&os_version=5.1&pver=3&resolution=720_1280&sign=77036280D318066694AED0FAAFCDF6D5

![2](https://cloud.githubusercontent.com/assets/3350372/24031211/4a721f6e-0b1c-11e7-9a0b-4e6846de80c3.png)
![1](https://cloud.githubusercontent.com/assets/3350372/24031217/59656ddc-0b1c-11e7-8c83-bc2d6b2e438f.png)

",fengfangqian,kmike
2649,2017-03-20 18:09:10,"Thanks @pawelmhm, looks good to me!",kmike,pawelmhm
2647,2017-03-13 13:21:35,"what exactly do you mean @kmike 
",pawelmhm,kmike
2645,2017-03-13 09:41:14,"@kmike Sure, I totally see the benefits in the `open_spider` and `process_item` cases. I am just not sure what benefit we get from calling `B.close_spider` *before* `A.close_spider`. Isn't it more intuitive for all the functions to be serial? For example, a call order like,

    1. A.open_spider
    2. B.open_spider
    3. A.process_item
    4. B.process_item
    5. A.close_spider
    6. B.close_spider

I stumbled upon this in a usage where, my `*pipeline A*` posts to ES and `*pipeline B*` then works on the indices touched by `*pipeline A*`. Say, `*pipeline A*` stores a buffer of items, that is completely flushed on close spider, then if `*pipeline B*`'s close_spider is called before `*pipeline A*`'s close_spider, the datastore has not yet been updated with all the data and it appears like the overall spider pipeline is behaving like a bi-directional valve. Given that an ordering for pipelines exists, I think there should be a way to support both orderings at the least.

Can you mention a use-case where you would have to have pipelines structured such that B would *require* being closed before A?",debosmit,kmike
2644,2017-03-13 14:05:38,Looks good to me. Thanks @jorenham ,redapple,jorenham
