issue_num,datetime,body,login,mention_login
1052,2017-03-27 19:00:41,"@chtrinh I **waited already after click on submit for new element on page**

> or better yet just wait for each field before your type()

Not relevant to the issue
",mymtwcom,chtrinh
1052,2017-03-27 20:38:51,"What @rosshinkley said might be the issue.

> I waited already after click on submit for new element on page

@mymtwcom: Is the form async loaded? That is what i was referring to. DOM elements might not be settled and you need to wait for it. 

",chtrinh,mymtwcom
1052,2017-03-27 20:38:51,"What @rosshinkley said might be the issue.

> I waited already after click on submit for new element on page

@mymtwcom: Is the form async loaded? That is what i was referring to. DOM elements might not be settled and you need to wait for it. 

",chtrinh,rosshinkley
1052,2017-03-27 21:54:50,"@rosshinkley yes, I used `show: true`. I used asserts that to know, that I'm currently on page that I need.
`CAPTCHA`: No there no was captcha, cuz I used `show: true` that to make sure.
read again plz my **problem** from issue:

I'm clicking button continue, after which I should be
 redirected, **this works sometimes, but sometimes I see** next **error**

Maybe my code will help to anybody reproduce the issue, there are used temporary proxy server also(I will disable him if issue will be reproduced).

code: 
",mymtwcom,rosshinkley
1052,2017-03-27 21:56:03,@chtrinh trouble not in registration form. Trouble with waiting for new page DOM loading,mymtwcom,chtrinh
1052,2017-03-27 23:23:36,"@mymtwcom: again... `.wait('#ap_customer_name')` sometimes your form will load before you execute `type()`and since `type()` doesn't raise an exception you'll just hit `.wait('.nav-line-1')` and timeout. Nowhere in the code snippet are you waiting for the `<form>` to be load on the DOM. 

So sometimes you get lucky and sometimes you don't and your test fails.. which is the behavior you are seeing. 
",chtrinh,mymtwcom
1050,2017-03-27 18:50:22,"@sbacic: good find, didn't know about that option",chtrinh,sbacic
1049,2017-03-22 14:59:56,Thanks @iget-master - I got a different direction to solve the issue.,Vineeth-Mohan,iget-master
1045,2017-03-15 19:29:32,@iget-esoares As documented [here](https://github.com/electron/electron/blob/master/docs/api/app.md#appgetpathname) there are both `home` and `appData` valid values for the paths option.  From the error you provided - `Error: Failed to get 'appData' path` - it seems like you might need to set that `appData` value in addition/instead of `home`.,johnferro,iget-esoares
1045,2017-03-15 19:36:39,"@johnferro I've tried both. My current -attempt- script now is:



",iget-esoares,johnferro
1045,2017-03-15 20:42:26,@iget-esoares Here's an [issue](https://github.com/electron/electron/pull/5237) to be aware of. I would think judging by that fix the initialization wouldn't be an issue but not 100% sure about that. Have you tried also explicitly setting the `userData` value to something else?,johnferro,iget-esoares
1042,2017-03-15 10:02:11,"hi  @entrptaher,

Thanks for your reply. Actually, the source code is to simplify the path. The thing is the script is able to load but get some issue with 'nightmare' which is inside the 

Any other idea, thanks.",nquoctuan,entrptaher
1042,2017-03-15 19:19:42,"I'm going to second @entrptaher's solution.  The preload option gets passed as an option to the initialization of electron's browser window.  As documented [here](https://github.com/electron/electron/blob/master/docs/api/browser-window.md#new-browserwindowoptions): ""The value should be the absolute file path to the script.""  While it may appear that the script is loading properly because the error is showing up in the electron console, no script is getting loaded which breaks nightmare since it is requiring those two lines of preload script.",johnferro,entrptaher
1029,2017-03-17 04:22:16,"#1024 is different, for what it's worth: that's talking about a child window.  Popups are, for now, not going to work (unless you create the windows yourself, like with `nightmare-window-manager`).  See #593.

Memory serving, partitioning has never worked particularly reliably, but I _thought_ that in your case @entrptaher that the `browser1` instance had to end to write the session to disk to then consequently get picked up by `browser2`?  Also, what, exactly, would be getting persisted?  The login cookie?",rosshinkley,entrptaher
1021,2017-02-27 01:46:03,"@louisscruz I'm just curious - what happens if you use different partitions? In your code, e.g.:



Would this consume more memory, or will it actually cause some speed up due to a separation of shared storages?",jekku,louisscruz
1021,2017-02-27 06:58:46,@jekku When the partition name doesn't match the partition name of the initial login instance it can't proceed.,louisscruz,jekku
1021,2017-02-28 20:16:33,@LeMoussel Here's my project: https://github.com/louisscruz/hub-crawl,louisscruz,LeMoussel
1021,2017-02-28 20:17:01,@rosshinkley Thanks for that! I'll give that a shot later today.,louisscruz,rosshinkley
1021,2017-03-01 04:37:36,"@rosshinkley Wow, your `nightmare-download-manager` did it! It no longer hangs with the `ignoreDownloads: true`.

There is still a drastic slowdown in performance throughout my crawler's run. With 24 workers, my last run, which was about 10 minutes long, started around 240 links per minute and ended at 110 links per minute. I'm curious how the shared session/partition affects this.

Anyways, my original issue is cleared up. I hope this helps someone else!",louisscruz,rosshinkley
1010,2017-02-24 19:20:27,"@keithkml If you come up with a custom action using the debugger, I'd be _very_ interested in seeing it.

Also, I neglected to mention - if you go this route, you will likely not be able to use the debugger tray (or you'll have to be _very_ judicious about opening and closing it) as Chromium only allows one attachment to the debugger at any given time.  I don't know that you'd hit that, but I thought I'd say it out loud to prevent you from head+desk.

Closing for the moment.",rosshinkley,keithkml
1001,2017-02-15 15:33:31,"@jekku just saw the checks have failed, thanks for noticing. I was a away to an event yesterday :) I'll get on it.",peterwilli,jekku
993,2017-02-10 03:35:27,"Thank you @rosshinkley . 
I'm gonna try it first thing in the morning, have to go right now (2am)

Yes, apparently my government doesn't like spending money on certificates. (go brazil!) 

**It worked!**",tloriato,rosshinkley
988,2017-02-03 07:17:18,@sanbor that is not the only case where test engineers should increase the mocha timeout for nightmare.js. It could also be possible that the operations being done on the browser are intentionally taking long.,jekku,sanbor
988,2017-02-03 17:12:53,@jekku Right. Does that means that you think that it's a good idea to mention this but with a different wording? Thanks.,sanbor,jekku
988,2017-02-13 05:25:14,@sanbor yes,jekku,sanbor
983,2017-02-24 00:57:22,"@jekku Babel inserts a function to handle this for us:

",stephenmathieson,jekku
983,2017-02-24 03:50:18,"@stephenmathieson thanks for teaching me that. :)

For me though, there could be some benefit on the es6 examples change - but it has subtle drawbacks as well. 

For people who need to be convinced to use this open source repository, it should be 'plug and play' as much as possible. Since not all ES6 features are available yet on the native engine without transpiling it from ES6 to ES5, they'd still add a layer of configuration above it to allow this example. I think they could figure out the cosmetic code changes on their own AFTER they are convinced to use nightmare.js.",jekku,stephenmathieson
978,2017-02-06 14:21:03,Thank you @entrptaher I will try this out,ericadamski,entrptaher
978,2017-02-10 03:12:31,@ericadamski how are you running async/await?  Node 7 or Babel or...?,rosshinkley,ericadamski
978,2017-02-10 13:44:51,"@rosshinkley I am using both Node 7, but also babel mostly for jsx and generators",ericadamski,rosshinkley
977,2017-02-07 13:53:51,@urlysses I will give this a try thank you!,ericadamski,urlysses
977,2017-02-07 14:07:30,@urlysses using a plain string data uri works! Thank you for the suggestion!,ericadamski,urlysses
977,2017-02-07 14:08:35,Thanks for checking @ericadamski. Glad I could help :--),urlysses,ericadamski
974,2017-03-24 11:50:30,"+1 I'm also interested in knowing how to set this up. I'm getting `nightmare electron child process exited with code 126: permission problem or command is not an executable - you may not have all the necessary dependencies for electron`

@diit Did you ever figure this out?",sweinertjr,diit
968,2017-02-10 04:16:22,"@navossoc the _unload_ bindings are preventing the page from fully loading?  o_O

That particular chunk was added so if you attempt to navigate away from a page, it prevents an unclickable modal dialog from cropping up, which would cause Nightmare to freeze.  (Same goes for `alert`, `confirm`, etc.)

Under Nightmare 2.9.1, I could not recreate the behavior you're seeing.  Out of curiosity, what are you returning from `.evaluate()`?",rosshinkley,navossoc
968,2017-02-10 11:01:43,"@rosshinkley As far I have tested it, yes...

My script was pretty simple, just a goto(), nothing more than that.

I think @kdgit1 can give you more details about the issue.

[]'s",navossoc,kdgit1
968,2017-02-10 11:01:43,"@rosshinkley As far I have tested it, yes...

My script was pretty simple, just a goto(), nothing more than that.

I think @kdgit1 can give you more details about the issue.

[]'s",navossoc,rosshinkley
967,2017-01-23 01:56:06,@jekku I'm sure it's possible to test for isomorphism -- we'd just need to run the tests under electron in addition to node.,Timer,jekku
