issue_num,datetime,body,login,mention_login
1052,2017-03-27 20:38:51,"What @rosshinkley said might be the issue.

> I waited already after click on submit for new element on page

@mymtwcom: Is the form async loaded? That is what i was referring to. DOM elements might not be settled and you need to wait for it. 

",chtrinh,rosshinkley
1052,2017-03-27 21:54:50,"@rosshinkley yes, I used `show: true`. I used asserts that to know, that I'm currently on page that I need.
`CAPTCHA`: No there no was captcha, cuz I used `show: true` that to make sure.
read again plz my **problem** from issue:

I'm clicking button continue, after which I should be
 redirected, **this works sometimes, but sometimes I see** next **error**

Maybe my code will help to anybody reproduce the issue, there are used temporary proxy server also(I will disable him if issue will be reproduced).

code: 
",mymtwcom,rosshinkley
1021,2017-02-27 06:58:46,@jekku When the partition name doesn't match the partition name of the initial login instance it can't proceed.,louisscruz,jekku
1021,2017-02-28 20:17:01,@rosshinkley Thanks for that! I'll give that a shot later today.,louisscruz,rosshinkley
1021,2017-03-01 04:37:36,"@rosshinkley Wow, your `nightmare-download-manager` did it! It no longer hangs with the `ignoreDownloads: true`.

There is still a drastic slowdown in performance throughout my crawler's run. With 24 workers, my last run, which was about 10 minutes long, started around 240 links per minute and ended at 110 links per minute. I'm curious how the shared session/partition affects this.

Anyways, my original issue is cleared up. I hope this helps someone else!",louisscruz,rosshinkley
1010,2017-02-24 19:20:27,"@keithkml If you come up with a custom action using the debugger, I'd be _very_ interested in seeing it.

Also, I neglected to mention - if you go this route, you will likely not be able to use the debugger tray (or you'll have to be _very_ judicious about opening and closing it) as Chromium only allows one attachment to the debugger at any given time.  I don't know that you'd hit that, but I thought I'd say it out loud to prevent you from head+desk.

Closing for the moment.",rosshinkley,keithkml
1001,2017-02-15 15:33:31,"@jekku just saw the checks have failed, thanks for noticing. I was a away to an event yesterday :) I'll get on it.",peterwilli,jekku
993,2017-02-10 03:35:27,"Thank you @rosshinkley . 
I'm gonna try it first thing in the morning, have to go right now (2am)

Yes, apparently my government doesn't like spending money on certificates. (go brazil!) 

**It worked!**",tloriato,rosshinkley
988,2017-02-03 17:12:53,@jekku Right. Does that means that you think that it's a good idea to mention this but with a different wording? Thanks.,sanbor,jekku
983,2017-02-24 00:57:22,"@jekku Babel inserts a function to handle this for us:

",stephenmathieson,jekku
983,2017-02-24 03:50:18,"@stephenmathieson thanks for teaching me that. :)

For me though, there could be some benefit on the es6 examples change - but it has subtle drawbacks as well. 

For people who need to be convinced to use this open source repository, it should be 'plug and play' as much as possible. Since not all ES6 features are available yet on the native engine without transpiling it from ES6 to ES5, they'd still add a layer of configuration above it to allow this example. I think they could figure out the cosmetic code changes on their own AFTER they are convinced to use nightmare.js.",jekku,stephenmathieson
978,2017-02-10 13:44:51,"@rosshinkley I am using both Node 7, but also babel mostly for jsx and generators",ericadamski,rosshinkley
968,2017-02-10 11:01:43,"@rosshinkley As far I have tested it, yes...

My script was pretty simple, just a goto(), nothing more than that.

I think @kdgit1 can give you more details about the issue.

[]'s",navossoc,rosshinkley
967,2017-01-23 01:56:06,@jekku I'm sure it's possible to test for isomorphism -- we'd just need to run the tests under electron in addition to node.,Timer,jekku
963,2017-01-20 20:07:18,@coyotte508 do you have a small example of your problem?,rosshinkley,coyotte508
963,2017-01-20 21:47:25,"@rosshinkley Sorry, not a small one...

https://gist.github.com/coyotte508/7bffdd66e251917c003bebe94ce343e3

It's inside a payment page. `.type` works but not `.insert`. I use the `nightmare-iframe-manager` plugin. The field itself is inside an iframe, maybe it's due to that too.

The selector used for `.type` is the precise selector for the input (`#number`), not a parent.",coyotte508,rosshinkley
959,2017-02-10 14:30:31,Thanks for the reply @rosshinkley. Does that mean the docs in README.md should be updated? My test code was mainly a copy-paste of what can be found [here](https://github.com/segmentio/nightmare#nightmareactionname-electronactionelectronnamespace-actionnamespace) in the `clearCache` example. The doc puts `clearCache` before `goto`.,contobob,rosshinkley
959,2017-02-14 14:36:49,"It's not an issue strictly with the placement of `clearCache` - granted that's probably wrong, even though it's in the readme. If you call `goto` before `clearCache`, it'll never get past `clearCache` - i.e. in this example, it'll print A, but not B or C.



IIRC, I saw the same issue w/ @rosshinkley's nightmare-upload. FWIW, on nightmare 2.9.1 as well.",ysimonson,rosshinkley
