issue_num,datetime,body,login,mention_login
919,2017-03-24 03:36:07,@sindresorhus I dun think it is something we can control. The name is officially announced and used in all of the places like documents and tutorials. It causes by the problem that AngularJS is so much different to Angular that it is not backward compatible at all. But it is a decision made by the angular team and they need to accept the consequence.,AnthonyTsang,sindresorhus
912,2017-03-17 15:42:32,@davisonio it's done.,bouzlibop,davisonio
909,2017-03-14 19:30:29,@sindresorhus updated!,podo,sindresorhus
902,2017-03-08 22:33:09,"@sindresorhus I think I've done the right fixes, thanks",armaldio,sindresorhus
899,2017-03-26 03:16:14,"Could you be more specific about what hasn't been followed @sindresorhus? 

The only point I can see which hasn't been fully met is ""Drop all the A / An prefixes in the descriptions."" which I'll look at sorting out.",cbovis,sindresorhus
894,2017-03-15 03:09:29,"@sindresorhus 
* changed to the CC0 license
* added community resources
* added GitHub topic tags
* Cleared up non-relevant material

I do however want to discuss the wording of `Libraries` over either `Modules` or `Packages`. I did get rid of `Framework` but if you do a Google search for ""WebGL Modules"" or ""WebGL Package"" you will not find anything. [Wikipedia](https://en.wikipedia.org/wiki/List_of_WebGL_frameworks) even uses the terms ""Frameworks"", ""Libraries"" and ""Engine"" which is the common term among the community. I understand eliminating the ambiguity with two terms, but Library seems to be the term I feel best describes it all... Another idea I had was to poll the community as this list is for them more than anyone.

Let me know what you think about the poll idea
Thanks",sjfricke,sindresorhus
893,2017-03-06 18:40:45,@davisonio Done,fkromer,davisonio
892,2017-02-23 12:04:12,Thanks @davisonio. So a user should go to [drduh/macOS-Security-and-Privacy-Guide](https://github.com/drduh/macOS-Security-and-Privacy-Guide) through [iCHAIT/awesome-macOS](https://github.com/iCHAIT/awesome-macOS). Does it make sense to put a direct link under Security?,seguri,davisonio
891,2017-02-28 11:40:55,@pokeball99 i don't get you. why are you saying this is bad collection?,clthck,pokeball99
887,2017-03-06 03:47:52,"@sindresorhus k I made the changes. How is it now?

Thanks.",quangv,sindresorhus
878,2017-02-06 14:31:24,"The main motivation for this is like suppose you want to do a certain task, let's say plot a graph for a function to see its behaviour. You come to no-login-web-apps repo, look up the index and quickly find something that works for you, out of the box. No logins, no registrations. Of course, if you will be doing this too often, you might want to create an account on that site.

> I honestly rather create an account in a great web app then use a crappy one without login

**From README:** Most of the apps mentioned here do provide some kind of a user account feature to save history and progress. But as already stated before, a user account is not necessary to use the main features of these apps.

Maybe I should add a marker for sites that allow logins ?

----

Considering the above explanation, I think my PR is suitable for this project. @sindresorhus What do you think? ",aviaryan,sindresorhus
