issue_num,datetime,body,login,close_date
83,2016-12-20 20:00:18,"I read the message below, but this seems like a pretty trivial change. I introduced a variable name for the gitolite-admin repo. Will run git-format-patch and send via email, as well.

----------------------------------------------------------------------------------------
Go to http://gitolite.com/gitolite/index.html#contact for information on
contacting me, the mailing list, and IRC channel.  *Unless you are reporting
what you think is a security issue, I prefer you send to the mailing list,
not to me directly.*

Please DO NOT send messages via github's ""issues"" system, linkedin
comments/discussion, stackoverflow questions, google+, and any other Web 3.0
""coolness"". (The issues system does have an email interface, but it is not a
substitute for email. I can't cc anyone else when I want to, for instance.
Well I can, but any response the original requester then makes using the
website will not get cc-d to the person I cc-d).

Please send patches *via email*, not as github pull requests. Again, if you
think it's a security issue, send it directly to my gmail address, but
otherwise please send it to the mailing list, so others can see it and comment
on it.

The preferred format is the files created by git-format-patch, as attachments.
However, if your repo has a public clone URL, you can make a new branch just
for this fix, and send the repo URL and branch name to the mailing list.

(If you do send me a github pull request, I may take it if it's a trivial
patch, but otherwise I'll ask you to close the pull request, then read
this URL for how to send me the patch.)
",isysd,
82,2016-09-29 21:08:43,"Go to http://gitolite.com/gitolite/index.html#contact for information on
contacting me, the mailing list, and IRC channel.  _Unless you are reporting
what you think is a security issue, I prefer you send to the mailing list,
not to me directly._

Please DO NOT send messages via github's ""issues"" system, linkedin
comments/discussion, stackoverflow questions, google+, and any other Web 3.0
""coolness"". (The issues system does have an email interface, but it is not a
substitute for email. I can't cc anyone else when I want to, for instance.
Well I can, but any response the original requester then makes using the
website will not get cc-d to the person I cc-d).

Please send patches _via email_, not as github pull requests. Again, if you
think it's a security issue, send it directly to my gmail address, but
otherwise please send it to the mailing list, so others can see it and comment
on it.

The preferred format is the files created by git-format-patch, as attachments.
However, if your repo has a public clone URL, you can make a new branch just
for this fix, and send the repo URL and branch name to the mailing list.

(If you do send me a github pull request, I may take it if it's a trivial
patch, but otherwise I'll ask you to close the pull request, then read
this URL for how to send me the patch.)
",zmt,
82,2017-01-30 19:26:22,Bump - I also sent an email patch like the instructions said. Please acknowledge or just take the patch.,zmt,
81,2016-08-19 07:41:57,"Send already an email to the mailing-list. Also sending a pull request as it's a trivial patch as written in the CONTRIBUTING-file.
",alexgit2k,
80,2016-07-04 22:46:41,"Trivial patch to fix the fact that when doing a first-time gitolite setup -pk <user>.pub that one gets a failure due to the gitolite-admin.git/hooks dir not getting created.
",ghost,
80,2016-09-29 06:03:21,"ping: did my post to the Google Group make it; I was having trouble getting subscribed.
",ghost,
79,2016-04-06 09:14:36,"On non Linux OS the 'wc' command contains leading TAB which leads to a failure in string comparison.

Solution compare as integers instead of strings. Further it also fixes 0 line counts on missing newline '\n' at the end of a public key.
",smlng,2016-09-02 13:31:10
79,2016-09-02 13:31:10,"I'll close this one, proposed patch was applied - though somewhat different, but it does the same ...
",smlng,2016-09-02 13:31:10
78,2016-02-18 01:10:59,"Github recently added support for TEMPLATEs for certain Github-specific activities, including creating Issues and Pull Requests. This patch creates these files as symlinks to the CONTRIBUTING document, which explains the process that should be used.

Signed-off-by: Eugene E. Kashpureff Jr eugene@kashpureff.org
",EugeneKay,2016-06-16 15:02:33
78,2016-06-16 15:02:33,"This was cherry-picked as 2494a40
",EugeneKay,2016-06-16 15:02:33
77,2015-12-12 06:15:22," git push origin master
Counting objects: 7, done.
Compressing objects: 100% (3/3), done.
Writing objects: 100% (4/4), 389 bytes | 0 bytes/s, done.
Total 4 (delta 0), reused 0 (delta 0)
remote: Can't locate Gitolite/Hooks/Update.pm in @INC (you may need to install the Gitolite::Hooks::Update module) (@INC contains: /git-install/gitolite/src/lib/ /etc/perl /usr/local/lib/perl/5.18.2 /usr/local/share/perl/5.18.2 /usr/lib/perl5 /usr/share/perl5 /usr/lib/perl/5.18 /usr/share/perl/5.18 /usr/local/lib/site_perl .) at hooks/update line 11.
remote: BEGIN failed--compilation aborted at hooks/update line 11.
remote: error: hook declined to update refs/heads/master
To git://bfuwu.cn/gitolite-admin
 ! [remote rejected] master -> master (hook declined)
error: failed to push some refs to 'git://bfuwu.cn/gitolite-admin'
",xiaohuoban,
76,2015-03-13 12:34:43,"If a single disk is not enough for all the repos, one has to
use symlinks to split them between disks.
",pvalsecc,2015-03-13 12:35:52
75,2015-03-03 20:50:26,"Omitting a repo name in some commands produces a perl warning:

  shell:~$ ssh git@example.com perms -l
  WARNING: Use of uninitialized value $repo in concatenation (.) or
  string at /srv/git/gitolite/src/lib/Gitolite/Conf/Load.pm line 239,
  <DATA> line 1.

  FATAL: invalid repo ''

This commit makes gitolite output this instead:

  shell:~$ ssh git@example.com perms -l
  FATAL: no repo specified
",hkoof,2015-03-17 14:37:28
74,2015-02-27 21:54:45,"As per discussion in:
https://groups.google.com/forum/#!msg/gitolite/eLTiK8hvijo/9dKI8YfTSecJ
added another check whether the command actually starts with the pathname to
gitolite-shell when shell mode is used.

Signed-off-by: Christoph Anton Mitterer mail@christoph.anton.mitterer.name
",calestyo,2015-02-27 21:55:47
74,2015-02-27 21:55:47,"ah forgot about the no pull requests thingy ^^
",calestyo,2015-02-27 21:55:47
73,2014-11-11 22:03:04,"This test isn't recognized without a leading / and should fail.
",milki,2014-11-12 06:00:26
73,2014-11-12 06:00:26,"Real fix is to delete the test.
",milki,2014-11-12 06:00:26
72,2014-10-21 15:15:23,"Add ~ to REPONAME_PATT and REPOPATT_PATT.

Tilde is used when copying with --backup=numbered.
https://www.gnu.org/software/coreutils/manual/html_node/Backup-options.html#Backup-options
",hginzel,
72,2014-10-26 09:39:37,"@ginzel, please use the mailing list. See https://github.com/sitaramc/gitolite/blob/master/CONTRIBUTING
",milki,
71,2014-07-11 22:16:19,"It's ambiguous which commands are run on the local machine vs the gitolite server.
",adymitruk,2014-07-20 00:47:06
71,2014-07-20 00:47:06,"see #62
",sitaramc,2014-07-20 00:47:06
70,2014-07-08 13:12:26,,esterlus,2014-07-08 13:19:31
70,2014-07-08 13:19:31,"sorry,

just saw the do not submit pull request pr
",esterlus,2014-07-08 13:19:31
69,2014-05-08 10:29:49,"repos must be readable by gitweb users
and have at least one 'gitweb.' option

so you can hide a repo even if a global gitweb. options is set
repo  @all
      config gitweb.owner = ""Owner""

repo  hidden
      -  =  gitweb
",jeremyz,2014-05-08 10:30:23
68,2014-05-07 00:27:16,"Add sample script for getting group membership from LDAP.
based on ldapsearch.
",dnozay,2014-07-20 00:46:55
68,2014-07-20 00:46:54,"see #62
",sitaramc,2014-07-20 00:46:55
67,2014-05-06 22:30:33,"simple one-line update; perl-Time-HiRes isn't installed by default on all systems.
",dnozay,2014-07-20 00:31:49
67,2014-05-07 14:19:34,"<S_CODE_TOKEN>

It seems to me that the 5.8.8 requirement on the previous line precludes the need for requiring Time::HiRes.

See also #62.
",MidLifeXis,2014-07-20 00:31:49
67,2014-05-07 14:49:06,"see https://groups.google.com/forum/#!topic/gitolite/hEZFnRLsEdM .
on RHEL based systems you can definitely install perl without installing perl-core.

I've seen #62, this is fine if this gets closed.
",dnozay,2014-07-20 00:31:49
66,2013-03-31 15:28:03,"why do not you use 'README.md'?
",chshouyu,2013-03-31 15:31:24
65,2013-03-24 10:16:21,"Fixed a minor typo
",bjornars,2013-04-24 15:43:09
64,2013-03-23 16:18:44,,jefferai,2013-06-14 16:35:23
63,2013-03-04 00:47:59,"Some older systems don't have a -a flag for cp. The -a flag also has
slightly different effects on different system, but I have replaced it
with -RpP which does appear to have a consistent effect across
different systems and works the same as -a for this particular use.
",lparkes,2013-06-14 16:45:33
63,2013-06-14 16:45:33,"will take a look...

Meta note: I don't accept pull requests normally, in fact I don't even log on to github most of the time.  The gitolite mailing list is the correct place to communicate with me.
",sitaramc,2013-06-14 16:45:33
62,2013-02-26 09:24:05,"Please do not open a Pull Request on Github for this repo - they are ignored, and will not be merged. Read the Wiki for this repository to find out how to properly submit patches.

This is a dummy commit used to open this PR as a notice to others, because Github does not allow disabling the PR feature entirely. Do not merge. Commentary on this PR is similarly pointless.
",EugeneKay,
62,2013-02-27 13:59:43,"A [CONTRIBUTING file](https://github.com/blog/1184-contributing-guidelines) should be added instead of this dummy PR.
",dolmen,
62,2013-02-28 01:17:25,"You are free to raise this point on the mailing list.
",EugeneKay,
62,2014-07-20 00:47:44,"CONTRIBUTING file exists now (as of March 2013)
",sitaramc,
