issue_num,datetime,body,login,mention_login
586,2017-03-20 23:37:20,Thanks for that @aaronbrethorst 🙇. I just merged https://github.com/slackhq/SlackTextViewController/pull/585 fixing the same.,dzenbot,aaronbrethorst
586,2017-03-20 23:38:17,"@dzenbot yeah, I just noticed that another PR was opened with the same changes :) ",aaronbrethorst,dzenbot
580,2017-03-13 11:41:14,"hi @yarodevuci,

is this when the keyboard first pops up, or are you unable to scroll the message for it to appear fully in view?",adamsrosco,yarodevuci
580,2017-03-13 14:46:54,@adamsrosco That's when keyboard is up and I press send button. That's how new message appears,yarodevuci,adamsrosco
578,2017-03-07 07:44:14,@vbraun Hi. What did you use to create gap between left and right message?,yarodevuci,vbraun
578,2017-03-07 08:00:27,"@yarodevuci not sure I understand your question, but this is the demo app that is in the https://github.com/EddyVerbruggen/cordova-plugin-native-keyboard repository.",vbraun,yarodevuci
576,2017-03-04 02:53:39,"@dzenbot Could not find anything related to that. Could you please point more specifically? 
scrollView == autoCompletionView this?

Perfect! Thank you sir!!! Your super fast response is greatly appreciated! Cheers!",yarodevuci,dzenbot
573,2017-02-24 11:06:45,"@bingjiang @dzenbot Yes I can confirm that deinit is not called. Any solution to this??
Why thread is closed??",yarodevuci,bingjiang
573,2017-02-24 11:06:45,"@bingjiang @dzenbot Yes I can confirm that deinit is not called. Any solution to this??
Why thread is closed??",yarodevuci,dzenbot
573,2017-03-01 06:44:50,@dzenbot Found the issue. Thank you,yarodevuci,dzenbot
572,2017-03-01 06:43:51,@dzenbot  But it is possible to modify private file to change it ?,yarodevuci,dzenbot
572,2017-03-01 06:54:41,"It's ok, I can modify the API.
`        _autoCompletionHairline.tintColor = [UIColor redColor];
`did not helped
@dzenbot  

        _autoCompletionHairline.backgroundColor = [UIColor redColor];
did the trick!! Thanks!",yarodevuci,dzenbot
571,2017-02-17 08:09:19,"@dzenbot thanks, I never used this type of keyboard..lol",jaskiratSeraphic,dzenbot
569,2017-02-17 14:08:03,I couldb't have said it better. Thanks @alexbredy !,dzenbot,alexbredy
567,2017-03-01 06:59:53,"Closing this for now, since @NinoScript found a workaround 💪 ",dzenbot,NinoScript
558,2017-03-01 06:42:36,"Very interesting observation! I was able to reproduce this, by adding that code snippet either in `viewDidLoad` and `viewDidAppear`. @hipwelljo did you end up finding the issue?

I would have though the `edgesForExtendedLayout` wasn't `all`. That would have explained it, but it's `all` by default and playing around with it doesn't help much. 
`extendedLayoutIncludesOpaqueBars` is set to `YES` internally in `SLKTextViewController` but this flag doesn't influence the translucency of the navigation bar.

I have sincerely no idea why this could be happening.",dzenbot,hipwelljo
554,2017-03-01 06:54:00,What version of the library are you using @gulzatique? Those bugs seem old.,dzenbot,gulzatique
553,2016-11-23 19:24:30,"Hey @danipralea! This library wasn't designed to be that flexible, but instead, provide basic outlets that fit most needs. For a much more custom layout I would strongly encourage you to fork the project, and add these new controls in SLKTextViewController. Particularly, look at `slk_setupViewConstraints` and `slk_updateViewConstraints`. All controls are using auto-layout.",dzenbot,danipralea
