issue_num,datetime,body,login,mention_login
586,2017-03-20 23:38:17,"@dzenbot yeah, I just noticed that another PR was opened with the same changes :) ",aaronbrethorst,dzenbot
576,2017-03-04 02:53:39,"@dzenbot Could not find anything related to that. Could you please point more specifically? 
scrollView == autoCompletionView this?

Perfect! Thank you sir!!! Your super fast response is greatly appreciated! Cheers!",yarodevuci,dzenbot
573,2017-02-24 11:06:45,"@bingjiang @dzenbot Yes I can confirm that deinit is not called. Any solution to this??
Why thread is closed??",yarodevuci,dzenbot
573,2017-03-01 06:44:50,@dzenbot Found the issue. Thank you,yarodevuci,dzenbot
572,2017-03-01 06:43:51,@dzenbot  But it is possible to modify private file to change it ?,yarodevuci,dzenbot
572,2017-03-01 06:54:41,"It's ok, I can modify the API.
`        _autoCompletionHairline.tintColor = [UIColor redColor];
`did not helped
@dzenbot  

        _autoCompletionHairline.backgroundColor = [UIColor redColor];
did the trick!! Thanks!",yarodevuci,dzenbot
571,2017-02-17 08:09:19,"@dzenbot thanks, I never used this type of keyboard..lol",jaskiratSeraphic,dzenbot
567,2017-03-01 06:59:53,"Closing this for now, since @NinoScript found a workaround 💪 ",dzenbot,NinoScript
553,2016-12-01 13:29:01,"Thanks for the response @dzenbot but if I add any other view via constraints, the constraints are somehow not activated. I have a custom title view for example, that I'm adding it and pinning it with layout constraints (same with a gradient view that comes below it):

The views (in the storyboard both have 384 width):
![screenshot 2016-12-01 15 19 51](https://cloud.githubusercontent.com/assets/768893/20795410/b0184096-b7d9-11e6-8d95-da219c263eb5.png)

The code:



But on an iPhone 7 Plus (which is bigger - 414 pixels), they don't resize up to the `self.view`'s width (same goes as for a join view as well):

![simulator screen shot 1 dec 2016 15 32 00](https://cloud.githubusercontent.com/assets/768893/20795734/54490e74-b7db-11e6-8ced-1d12ab9f61a7.png)

",danipralea,dzenbot
553,2016-12-14 00:27:28,any ideas @dzenbot ?,danipralea,dzenbot
536,2017-03-07 07:48:55,@dzenbot @enstulen @je7db Same thing happens with UI Label text ... No ideas so far? ,yarodevuci,dzenbot
531,2017-03-10 19:51:29,I second that @NinoScript ,dzenbot,NinoScript
