issue_num,datetime,body,login,close_date
669,2017-03-23 19:03:58,,synchrone,
668,2017-03-21 12:40:24,"I was testing the git hosting role, and although the cgit website displayed neither the about page of a repository displayed any content nor was it possible to view the content of any file.

- The first problem originated because my readme file is README.md a markdown file. That dependency is not installed with pip.
- Second problem is that source files are parsed by the syntax highlighter. That script in cgit enforces the use of python3 but the pygments dependency is installed with the system pip which in debian jessy is still python2, thus pygments was not available for use in the python3 interpreter. I have added a Python3 pip and install pip3 dependencies for it

I was also thinking it might be good to update cgit version to current 1.1. That version even enforces python3 in the markdown converter. That would allow to remove the pip2 install dependency that I for the moment have left in the role. Also I don't know how to force the install step once the version has been updated.",Titan-C,
667,2017-03-17 11:36:36,"As mentioned in a previous approach, I've come up with a way to evolve Sovereign. I've put some ideas into a Wiki page:

https://github.com/alexec/sovereign/wiki/Sovereign-2

I'd be keen to see what people think? What problems do you encounter? What do you like? What would you want to see?",alexec,
667,2017-03-17 11:54:04,"

On 17.03.2017 12:36, Alex Collins wrote:
>
> As mentioned in a previous approach, I've come up with a way to evolve
> Sovereign. I've put some ideas into a Wiki page:
>
> https://github.com/alexec/sovereign/wiki/Sovereign-2
>
> I'd be keen to see what people think? What problems do you encounter?
> What do you like? What would you want to see?
>

If you have a large team that constantly and in a VERY fast pace tracks
security issues, maintaines, updates and rebuilds your local docker
packages,
this approach of using Docker might be fine.

Otherwise I'd consider it a security nightmare with a jungle of not
properly maintained docker images.

Build it straight from the Debian packages so that a simple ""apt-get
update; apt-get upgrade"" gives you the latest security fixes.

Cheers
  Mike


",neuffer,
667,2017-03-17 12:02:26,"Thanks. That's a really important comment about a critical issue. We don't want to sacrifice security. This isn't as straightforward in the Docker world as `apt-get update + upgrade`. I'll find out how my organisation does this currently. Also, I think think should be a requirement of the solution ""It must be a single bash command to get the latest security patches"".",alexec,
667,2017-03-17 19:12:30,"> Otherwise I'd consider it a security nightmare with a jungle of not properly maintained docker images.

A simple fix is to make official Sovereign Docker images that are vetted for security. It could be a part of the Sovereign value proposition that these Docker images are locked-down.",bsima,
667,2017-03-20 17:08:32,I really like this idea. How complicated is it to build your own docker images?,cstich,
667,2017-03-20 23:42:11,"Excellent work on all this! Here's my pie-in-the-sky wish list: 

- Add a [Samba domain controller](https://wiki.alpinelinux.org/wiki/Setting_up_a_samba-ad-dc) to the mix for unified auth and multi-user management. Should be pretty straightforward for all the apps that support LDAP. 
- Add [Leanote](https://github.com/leanote/leanote) to the mix.
- Replace RoundCube, Z-Push and the contacts/calendar portion of OwnCloud/NextCloud with [SoGO](https://sogo.nu/).
- Replace cgit/gitolite with [GoGit](https://gogs.io/).
- It seems a little redundant to have both MySQL and PostgreSQL installed. Can the architecture be consolidated down to one DB?",MrDrMcCoy,
667,2017-03-21 12:54:01,"I think using Docker images will make it much harder as those images need an individual update. Or in that case we are better of splitting sovereign into individual services and each service is the one that builds the docker image.
My biggest issue with sovereign is that it is not modular enough to configure which services I want to install in my server. I see that is the intention of using the docker images,(and in my ignorant opinion) I feel using the playbook with more modular roles is a simpler solution.",Titan-C,
667,2017-03-21 17:16:42,"> My biggest issue with sovereign is that it is not modular enough

This was what prevented me from using sovereign, since it has many interdependent parts (and also because it had many services I don't need, and I wanted to learn ansible/ configuration management in general).

I'm still following development here as I consider it high quality work and the commit log is very instructive; feel free to borrow ideas from my (personal, wouldn't yet recommend for production use) ansible based self-hosting solution at https://github.com/nodiscc/srv01 - it is not as feature complete as sovereign but I think it solves the modularity problem (roles are sometimes interconnected but it takes advantage of ansible's tagging system). Criticism and bug reports are also welcome.

I'm not very interested in Docker based containerization but I'd like to learn/work on seccomp/LXC/... based sandboxing in the future.

Best of luck with future work on sovereign",nodiscc,
