issue_num,datetime,body,login,mention_login
667,2017-03-22 14:59:23,"@nodiscc Your self-hosting solution at https://github.com/nodiscc/srv01 is very intresting, thanks for sharing the link. I'am working on something compareable see https://github.com/return42/handsOn.

handsOn was created for german users, the description is in german: http://return42.github.io/handsOn

But I guess, with a little bash knowledge, reading the scripts https://github.com/return42/handsOn/tree/master/scripts and with a look at the templates https://github.com/return42/handsOn/tree/master/templates everyone will see how my setups are made.",return42,nodiscc
667,2017-03-22 19:00:27,"@return42 with all respect I would not use your project _at all_; and I don't think it can actually be used to improve sovereign. Sovereign's only indesirable characteristic is interdependence of roles. Regarding handsOn

 * `cloc` reports 4000+ lines of Shell scripts...  ಠ_ಠ
 * Improper quoting, improper use of comparison operators, `shellcheck scripts/*` reports hundreds of errors/warnings...
 * No idempotence at all
 * (Apparently?) tight coupling between components
 * No configuration hardening
 * No english documentation

This is just a list of few things you could improve (hint: you might be better off starting from scratch and using configuration management).

Re. sovereign 2: I would definitely use something based on/similar to [DebOps ansible playbooks](https://github.com/debops/debops-playbooks), which can *actually* be run separately, but with an added layer that eases configuration/customization (which Sovereign is actually good at, and was a great inspiration for my work - single config file). A docker-container approach is the complete opposite of this, and as others have said, would be a security/maintenance nightmare.",nodiscc,return42
667,2017-03-23 07:46:09,"@nodiscc: As I wrote, handsOn is for german audience. It focus on *productivity AND education*, describing the setups in detail to give the audiance a chance to admin in a different context. It's far from what sovereign is (no plug&play character). I gave the link to show how my service-setups are / if someone is intrested e.g to see how to place *this or that* service behind an apache instance (your speach: ""feel free to borrow ideas from my""). If there is nothing for you, leaf it.

Anyway, thanks for your hints. Good point, I have to lint my scripts ;) ...  BTW:
 
> ShellCheck does not attempt to figure out runtime or dynamic assignments like with `source` ...

.. one reason for the *hundreds* of errors :o",return42,nodiscc
667,2017-03-23 13:09:58,"@return42 I understand; juste a note that if you use it for educational purposes - aside from a few ansible-specific tricks and basic config - I think ansible makes the whole setup much easier to understand than bash scripts - ie. you don't have to learn bash intricacies; along several other advantages. Not trying to detract from your work, it looks rather well done aside unavoidable problems when working with a large bash codebase, which ansible effectively abstracts away.

@alexec I have re-read your writeup and I think it brings some good points, can you give some details on the following:

* Requires a too much experience in Linux system administration to set-up and maintain. E.g. You need to know DKIM, DMARC, Postgresql, MySQL, Apache etc etc: How so? 
* Requires too much time to set-up: Been a while since I tried it. How much time does it take? What is the longest step and can it be automated?
* Requires too much time to maintain: Same question, what are required maintenance tasks? I've come up with a soltuion that only requires running an `upgrade` command periodically. How can this be automated?
* Does not work on Ubuntu (package version problems): WHile I understand it is tempting to support every distribution, I think focusing on a single (or 2) distributions is part of the project's value (I chose Debian stable)
* Needs manual configuration (OwnCloud is insecure by default): How so? Can you link to that particular proble/can it be automated?
* Configuration is not consistent: How can it be solved? The way I solved this is a single configuration file.
* Hard to choose what components to install: Yes. Roles probably need to be split up and reorganized
* Components are not isolated: Further sandboxing/isolating services through seccomp/LXC/SELinux could be done without requiring downloading a full docker container each time.
",nodiscc,alexec
667,2017-03-23 13:09:58,"@return42 I understand; juste a note that if you use it for educational purposes - aside from a few ansible-specific tricks and basic config - I think ansible makes the whole setup much easier to understand than bash scripts - ie. you don't have to learn bash intricacies; along several other advantages. Not trying to detract from your work, it looks rather well done aside unavoidable problems when working with a large bash codebase, which ansible effectively abstracts away.

@alexec I have re-read your writeup and I think it brings some good points, can you give some details on the following:

* Requires a too much experience in Linux system administration to set-up and maintain. E.g. You need to know DKIM, DMARC, Postgresql, MySQL, Apache etc etc: How so? 
* Requires too much time to set-up: Been a while since I tried it. How much time does it take? What is the longest step and can it be automated?
* Requires too much time to maintain: Same question, what are required maintenance tasks? I've come up with a soltuion that only requires running an `upgrade` command periodically. How can this be automated?
* Does not work on Ubuntu (package version problems): WHile I understand it is tempting to support every distribution, I think focusing on a single (or 2) distributions is part of the project's value (I chose Debian stable)
* Needs manual configuration (OwnCloud is insecure by default): How so? Can you link to that particular proble/can it be automated?
* Configuration is not consistent: How can it be solved? The way I solved this is a single configuration file.
* Hard to choose what components to install: Yes. Roles probably need to be split up and reorganized
* Components are not isolated: Further sandboxing/isolating services through seccomp/LXC/SELinux could be done without requiring downloading a full docker container each time.
",nodiscc,return42
667,2017-03-25 09:56:50,"@alexec 

Ad owncloud/nextcloud: You need to set the permissions correctly after install and as far as I could tell right now sovereign is not doing that. [Install documentations](https://doc.owncloud.org/server/9.0/admin_manual/installation/installation_wizard.html)",cstich,alexec
667,2017-03-25 10:54:15,@cstich Here are the tasks I use to harden Owncloud file permissions: https://github.com/nodiscc/srv01/blob/master/roles/webapp-owncloud/tasks/owncloud.yml#L140.,nodiscc,cstich
667,2017-03-26 15:43:50,@nodiscc Oh nice. Thanks for pointing this out.,cstich,nodiscc
667,2017-03-26 17:34:18,@alexec Awesome that you consider going for nginx as well! 🎉 That would be another reason to reopen [the issue with the answer to life the universe and everything](https://github.com/sovereign/sovereign/issues/42). 😉 ,alexanderadam,alexec
659,2017-03-12 21:35:44,"@johnniefox Thanks for posting your fix.

This is a duplicate of #604.  I'm going to close this one, but I'll update #604 pointing here for a possible fix.",mikeashley,johnniefox
652,2017-03-12 17:22:43,"I tested this PR on Debian 8.7 and it breaks, so I looked into it a bit...

The ""section name"" in the config file is not necessarily the filter name. If you look in `/etc/fail2ban/jail.conf`, there is a section called `ssh` which is configured to use the `sshd` filter, which it finds in `/etc/fail2ban/filter.d`.

Not sure what problem you hit with Ubuntu, @alexec. Perhaps you can let us know what your `/etc/fail2ban/jail.conf` looks like.
",lukecyca,alexec
648,2017-02-06 15:20:06,@alexec is it possible to submit separate PR's for some of these items to make it easier to review and merge in pieces?  Some of this looks good.,jplock,alexec
643,2017-01-24 13:04:13,"@neuffer I've created said [wiki page](https://github.com/sovereign/sovereign/wiki/Edit-Selfoss-and-Wallabag-credentials).
@alexec Maybe someone more experienced could provide one? I'm not seeing myself doing it, at least any time soon.",der-gee,neuffer
643,2017-01-24 13:04:13,"@neuffer I've created said [wiki page](https://github.com/sovereign/sovereign/wiki/Edit-Selfoss-and-Wallabag-credentials).
@alexec Maybe someone more experienced could provide one? I'm not seeing myself doing it, at least any time soon.",der-gee,alexec
640,2017-01-12 15:50:02,"@neuffer 
Is it easy to install ?",Peyphour,neuffer
640,2017-01-12 16:03:42,"

On 12.01.2017 16:50, Peyphour wrote:
>
> @neuffer <https://github.com/neuffer>
> Is it easy to install ?
>
> —
> You are receiving this because you were mentioned.
> Reply to this email directly, view it on GitHub
> <https://github.com/sovereign/sovereign/issues/640#issuecomment-272199024>,
> or mute the thread
> <https://github.com/notifications/unsubscribe-auth/AQFJn_Ym0CK9CgLmmHd2PLSbvS3viRQgks5rRkuxgaJpZM4LcMW4>.
>

No, but I have it running with a non sovereign install.


oskapt has build a role to install it with his sovereign branch.
https://github.com/oskapt/sovereign

Debian testing has a package for it that is pretty current.
The package in Debian stable is very very outdated.

Cheers
  Mike
 


",neuffer,neuffer
640,2017-01-14 21:10:17,@ariddell i better get acquainted with github a bit more then :) no clue at the moment,JayBeRayBearGun,ariddell
639,2017-01-12 15:03:24,@Peyphour please submit a PR,morenoh149,Peyphour
637,2017-01-24 19:27:08,"@Dosenpfand thanks for investigating. I would really like to see us move away from postgrey and then ensure that rspamd's greylisting is enabled and working.

If you want to do more work towards this or take a stab at a PR, I'll happily help test it on my own installation and help get it merged.",lukecyca,Dosenpfand
637,2017-02-04 11:53:20,@lukecyca Unfortunately I will not have time to work on this in the foreseeable future. Additionally I kept disabled postgrey the last month and did not see any spam hitting my inbox.,Dosenpfand,lukecyca
635,2016-12-28 16:06:49,"I've been testing this by putting it in my personal `~/.dovecot.sieve` since I didn't want to roll out this change to the other mail users I have just yet.

Nevertheless this is working perfectly. Thank you, @hippich!",lukecyca,hippich
634,2017-02-03 18:17:11,@ariddell sounds good. Open a new issue or pull request for that!,lukecyca,ariddell
632,2016-12-10 23:39:41,@lukecyca  https://github.com/sovereign/sovereign/pull/634,OKNoah,lukecyca
624,2016-12-06 16:44:59,@sigmafeud: Nope. still fails.,cromulus,sigmafeud
615,2016-12-12 12:51:19,"@cromulus I agree with you that owncloud does too much. The broader issue is that sovereign (or rather an ansible playbook + roles) is monolithic and it's hard to do anything except remove roles. It's not easy to provide a set of alternatives to choose from or to allow third-party ""plugin"" roles. Ansible doesn't seem to be the best tool in such a situation though.",ariddell,cromulus
615,2016-12-12 18:35:00,"@ariddell Hmm... yes. My hunch is that the right long term move for personal mail, cardav, caldav, filesync, etc. etc. is to setup a docker ecosystem that revolves around an ldap/auth service, announces services (etcd, consul, docker service links, ...), and potentially utilizes a shared filesystem (local host filesystem volume, ceph, nfs, torus, glusterfs ... )

Each component would be responsible for it's own upgrade path, installation, etc. Could be run either on a single host, ala dokku, or across a kubernetes cluster.

That's mighty different from the current sovereign architecture and I think would require a totally separate project.",cromulus,ariddell
615,2016-12-12 18:46:22,"@cromulus I agree with you in general terms. One thing to try to hang onto is the accumulated knowledge embedded in sovereign (and similar projects using ansible like debops and streisand). (Maybe @drybjed knows about new projects that fit your description?)

I'd certainly be interested in learning about projects attempting a fully modular approach. I think other users of sovereign would be interested too. If there's a mature project I think we could certainly mention it in a ""See Also"" section of the README.
",ariddell,cromulus
615,2016-12-12 18:47:38,"Back on topic, perhaps we could add a section to the README listing mature alternatives to the roles that are currently supported in sovereign. For example, Baïkal could be mentioned as a replacement for (a part of) owncloud. Seafile and Syncthing could also be mentioned. What do you think about this @cimm?",ariddell,cimm
610,2016-10-30 10:00:01,"PR #598 also forces the pull.  @hippich Are you interested in using that PR?  It would be nice to get some testing on it before we integrate.
",mikeashley,hippich
604,2016-10-22 09:04:19,"@lukecyca There are two things going on.  First, I couldn't reproduce the problem as you reported it.  The install runs clean for me.  Second, when I run the initialize task from the command line on my test server, I do get the warning reported by your Ansible run.

So I need to address the warning but first I would like to understand why my testing doesn't reproduce your report.  Can you tell me what version of Ansible you are running?  I am wondering if you are running a more paranoid deployment setup.
",mikeashley,lukecyca
604,2017-02-07 07:19:39,@arpadlukacs how much memory + swap did the system you tried running it on have?,Dosenpfand,arpadlukacs
601,2016-10-30 13:34:30,"Remember, @mikeashley this is not openVZ only, it's also VMWare, which is a full virtualization, it does not use the local kernel. I'll do my best to find some time to set up a physical debian box and test it out.

@Titan-C I tried to troubleshoot the playbook but it's a mess. The most you can do with it is get back the output of commands sent to the server with `-v` flag, and if you set the ENV  `ANSIBLE_KEEP_REMOTE_FILES=1`, `~deploy/.ansible/tmp/*` will not be removed. However, as far as I'm concerned those two are as useless as can be. Nothing in the command output shows me an error, and the temp files are a mess of auto-generated python scripts. So I gave up because it would take an insane amount of time to try to untangle that. Meaning you're better off manually installing each piece of software that failed to properly deploy. sovereign is a good starting point, it saves you some time, but that's where it stops.
",working-name,mikeashley
601,2016-10-30 13:34:30,"Remember, @mikeashley this is not openVZ only, it's also VMWare, which is a full virtualization, it does not use the local kernel. I'll do my best to find some time to set up a physical debian box and test it out.

@Titan-C I tried to troubleshoot the playbook but it's a mess. The most you can do with it is get back the output of commands sent to the server with `-v` flag, and if you set the ENV  `ANSIBLE_KEEP_REMOTE_FILES=1`, `~deploy/.ansible/tmp/*` will not be removed. However, as far as I'm concerned those two are as useless as can be. Nothing in the command output shows me an error, and the temp files are a mess of auto-generated python scripts. So I gave up because it would take an insane amount of time to try to untangle that. Meaning you're better off manually installing each piece of software that failed to properly deploy. sovereign is a good starting point, it saves you some time, but that's where it stops.
",working-name,Titan-C
598,2017-01-13 12:49:41,"@mikeashley @wsteitz how can I help in getting this into core? I am a newbie in Ansible, but at least can help with testing (not with documentation, English and writing are two my weak points as well). ",akovalyov,mikeashley
598,2017-01-13 12:49:41,"@mikeashley @wsteitz how can I help in getting this into core? I am a newbie in Ansible, but at least can help with testing (not with documentation, English and writing are two my weak points as well). ",akovalyov,wsteitz
598,2017-01-13 13:15:41,"@akovalyov  I decided against using ansible on my server. So there is no real interest from my side to finish up on this one. Sorry.

In the meantime, wallabag's installation steps got simplified a bit. It would need to check what has changed and adapt accordingly. the best idea is probably closing this PR and re-open a new one.",wsteitz,akovalyov
595,2016-10-17 23:54:09,"Thanks @carljm. My fix has been merged so I consider this resolved.
",lukecyca,carljm
586,2016-08-11 21:05:00,"Thanks @oskapt . Do there need to be any changes on the jessie branch?
",ariddell,oskapt
586,2016-08-11 21:48:20,"@ariddell It isn't tested on Jessie, but it's configured to work on all three. I'm running it on Ubuntu. Someone should run it just to make sure I didn't miss anything - afaict the only difference is the repository path.
",oskapt,ariddell
586,2016-09-09 09:10:13,"@oskapt I think this PR is headed in a good direction.  Do you have any interest in reworking it for the jessie branch?  I don't know if anybody will champion it for wheezy.  If you are not interested I will probably pick it up.
",mikeashley,oskapt
577,2016-07-14 21:46:22,"Hi @oskapt . Thanks for all these PRs. Have you looked at the jessie branch? It's quite a bit ahead of master and perhaps might benefit from these changes.
",ariddell,oskapt
577,2016-08-08 21:09:45,"Thanks for the PR. I was on vacation for the last 4 weeks however @mikeashley  and @ariddell are also comitters.
",neuhaus,mikeashley
577,2016-08-08 21:09:45,"Thanks for the PR. I was on vacation for the last 4 weeks however @mikeashley  and @ariddell are also comitters.
",neuhaus,ariddell
576,2016-07-13 17:18:23,"@carljm - My thought here is that users changing passwords updates the database (if I use the roundcube plugin, which is what I'll be poking at next). If passwords are already in the database, then I just need to not clobber them. That's a _lot_ less work than having some external setup that grabs the password, encrypts it, puts it in Ansible, and then runs Ansible to update the database. Users also expect their password change to be instantaneous. Even if I update the database directly, then extract those passwords and update Ansible, it's clunky. Now my mailserver is updating my sovereign repository, and for most users, the Ansible configuration doesn't live on the mailserver. Git, SSH, push permissions...what I have here is far easier to manage.
",oskapt,carljm
576,2016-07-13 17:25:45,"@oskapt yeah, I get your thinking, and I've wrestled back and forth with this same question. But it still seems to me that there's some conceptual inconsistency in this PR. Right now, as you say, ""config is god,"" in every aspect. Whatever's in the config is guaranteed to match what's actually used (assuming you've run Ansible.)

After this PR, ""config is kinda-sorta-mostly-god, but only in terms of which records exist, not necessarily in terms of their data attributes -- various things could be changed directly in the database and will then not match your config, and that inconsistency could persist indefinitely."" I understand why that seems useful for passwords, but it definitely doesn't seem like an improvement in terms of simplicity or clarity of the mental model.

I wonder if there'd be some way to do this that applied _only_ to password hashes, and removed password hashes from the Ansible config entirely? I just really don't like the idea of having stuff in Ansible that is permanently out-of-sync and misleading.
",carljm,oskapt
576,2016-07-13 18:02:29,"@carljm It's a dilemma, for sure. I've run sovereign for ~2y at home, where my wife doesn't care if she can't change her password. I'm deploying it for a small office environment now, and they _do_ care. The workflow now with Fastmail is I set them up and give them their initial password and then tell them to change it. If they forget it, I can go back and reset it. I see this change for sovereign as the same logic. I set your initial password in the config and you change it. From that point on the password hash is ignored, as I believe _it should be_. I could add a `force: True` flag that would act as a password reset, so that the ""setting and resetting of passwords"" is still within the sysadmin domain, whether it's Ansible or some other tool.

In this configuration there is no other tool, so enabling Ansible to act like any other admin/management tool for passwords seems like the right move.

I don't know whose decision it is to merge or not merge these things - I'm just handing them over because they seem useful. I'm running them all in production, and they all solve specific problems I've encountered w/ sovereign.

FYI - I fixed the index issue with virtual aliases. I've only tested it on Postgres 9.1. If someone can test the IF/THEN for 9.4, that would be great. Otherwise w/ 9.5 it solves itself.
",oskapt,carljm
576,2016-07-13 18:44:40,"@oskapt I'm not a maintainer/committer, so the merge decision isn't up to me :-) Definitely appreciate you sharing your work back!
",carljm,oskapt
576,2016-08-09 12:51:22,"I appreciate how this solves a real problem. It does, however, as @carljm  points out, run contrary to the idea of the ansible configuration specifying precisely the desired state of the server.

edit: correct @mention
",ariddell,carljm
576,2016-08-10 08:42:45,"@oskapt I appreciate the effort you put into this.  Thank you.  Could you separate the problem(s) you are trying to solve from your implementation?  @carljm is making some good points, for example, about alternative and probably more robust ways of addressing the race condition that exists when rerunning the mailserver role concurrent with mail delivery.  As for password management, I want to be sure I understand what you're trying to accomplish.  I suggest opening two separate issues, and let's work through it there so we can document the thinking.
",mikeashley,oskapt
576,2016-08-10 08:42:45,"@oskapt I appreciate the effort you put into this.  Thank you.  Could you separate the problem(s) you are trying to solve from your implementation?  @carljm is making some good points, for example, about alternative and probably more robust ways of addressing the race condition that exists when rerunning the mailserver role concurrent with mail delivery.  As for password management, I want to be sure I understand what you're trying to accomplish.  I suggest opening two separate issues, and let's work through it there so we can document the thinking.
",mikeashley,carljm
560,2016-05-30 20:29:31," @Yannik do you have any thoughts about @JasperWallace's comment and/or this PR?
",ariddell,JasperWallace
557,2016-05-09 08:49:20,"I agree with @carljm.  We shouldn't run the import script unconditionally.  I've seen such import scripts unconditionally drop tables if they already exist.  This would not be good if replaying a playbook on a system that has been running for a while.

Before making a change, we should understand what really happened.  Can the problem be reproduced in a test setup?
",mikeashley,carljm
557,2016-05-17 15:23:48,"Sorry for the delayed reply, guys. I cannot confirm what actually happened, but I think @carljm is correct. The [OpenDMARC schema](http://apt-browse.org/browse/ubuntu/trusty/universe/amd64/opendmarc/1.2.0+dfsg-1/file/usr/share/doc/opendmarc/schema.mysql) is using `IF NOT EXISTS` clauses, so what's the problem of running it unconditionally? The SQL engine will handle the potential conflict.
",tomasbedrich,carljm
557,2016-12-22 19:10:18,@tomasbedrich thanks for the workaround,nfedyashev,tomasbedrich
