issue_num,datetime,body,login,mention_login
667,2017-03-22 14:59:23,"@nodiscc Your self-hosting solution at https://github.com/nodiscc/srv01 is very intresting, thanks for sharing the link. I'am working on something compareable see https://github.com/return42/handsOn.

handsOn was created for german users, the description is in german: http://return42.github.io/handsOn

But I guess, with a little bash knowledge, reading the scripts https://github.com/return42/handsOn/tree/master/scripts and with a look at the templates https://github.com/return42/handsOn/tree/master/templates everyone will see how my setups are made.",return42,nodiscc
667,2017-03-23 07:46:09,"@nodiscc: As I wrote, handsOn is for german audience. It focus on *productivity AND education*, describing the setups in detail to give the audiance a chance to admin in a different context. It's far from what sovereign is (no plug&play character). I gave the link to show how my service-setups are / if someone is intrested e.g to see how to place *this or that* service behind an apache instance (your speach: ""feel free to borrow ideas from my""). If there is nothing for you, leaf it.

Anyway, thanks for your hints. Good point, I have to lint my scripts ;) ...  BTW:
 
> ShellCheck does not attempt to figure out runtime or dynamic assignments like with `source` ...

.. one reason for the *hundreds* of errors :o",return42,nodiscc
667,2017-03-26 15:43:50,@nodiscc Oh nice. Thanks for pointing this out.,cstich,nodiscc
640,2017-01-14 21:10:17,@ariddell i better get acquainted with github a bit more then :) no clue at the moment,JayBeRayBearGun,ariddell
639,2017-01-12 15:03:24,@Peyphour please submit a PR,morenoh149,Peyphour
637,2017-01-24 19:27:08,"@Dosenpfand thanks for investigating. I would really like to see us move away from postgrey and then ensure that rspamd's greylisting is enabled and working.

If you want to do more work towards this or take a stab at a PR, I'll happily help test it on my own installation and help get it merged.",lukecyca,Dosenpfand
637,2017-02-04 11:53:20,@lukecyca Unfortunately I will not have time to work on this in the foreseeable future. Additionally I kept disabled postgrey the last month and did not see any spam hitting my inbox.,Dosenpfand,lukecyca
635,2016-12-28 16:06:49,"I've been testing this by putting it in my personal `~/.dovecot.sieve` since I didn't want to roll out this change to the other mail users I have just yet.

Nevertheless this is working perfectly. Thank you, @hippich!",lukecyca,hippich
634,2017-02-03 18:17:11,@ariddell sounds good. Open a new issue or pull request for that!,lukecyca,ariddell
632,2016-12-10 23:39:41,@lukecyca  https://github.com/sovereign/sovereign/pull/634,OKNoah,lukecyca
615,2016-12-12 18:35:00,"@ariddell Hmm... yes. My hunch is that the right long term move for personal mail, cardav, caldav, filesync, etc. etc. is to setup a docker ecosystem that revolves around an ldap/auth service, announces services (etcd, consul, docker service links, ...), and potentially utilizes a shared filesystem (local host filesystem volume, ceph, nfs, torus, glusterfs ... )

Each component would be responsible for it's own upgrade path, installation, etc. Could be run either on a single host, ala dokku, or across a kubernetes cluster.

That's mighty different from the current sovereign architecture and I think would require a totally separate project.",cromulus,ariddell
615,2016-12-12 18:47:38,"Back on topic, perhaps we could add a section to the README listing mature alternatives to the roles that are currently supported in sovereign. For example, Baïkal could be mentioned as a replacement for (a part of) owncloud. Seafile and Syncthing could also be mentioned. What do you think about this @cimm?",ariddell,cimm
610,2016-10-30 10:00:01,"PR #598 also forces the pull.  @hippich Are you interested in using that PR?  It would be nice to get some testing on it before we integrate.
",mikeashley,hippich
604,2016-10-22 09:04:19,"@lukecyca There are two things going on.  First, I couldn't reproduce the problem as you reported it.  The install runs clean for me.  Second, when I run the initialize task from the command line on my test server, I do get the warning reported by your Ansible run.

So I need to address the warning but first I would like to understand why my testing doesn't reproduce your report.  Can you tell me what version of Ansible you are running?  I am wondering if you are running a more paranoid deployment setup.
",mikeashley,lukecyca
