issue_num,datetime,body,login,close_date
689,2017-03-27 10:46:21,"I have error when start `""*.svg"": ""imgmin""` in lint-staged. Only if more than one svg file has been uncommitted.

Running tasks for *.svg
→ Unknown argument: ~\mySvgFolder\attention.svg",BrRenat,2017-03-27 17:54:30
689,2017-03-27 17:54:30,"SVGO has syntax
<S_CODE_TOKEN>
",GreLI,2017-03-27 17:54:30
689,2017-03-28 05:50:25,"`
""scripts"": {
    ""imgmin"": ""svgo -f mySvgFolder"",
}
`
Ok, if my syntax wrong. How i should add svgo task to lint-staged?
I wrote that the error appears only if more than one svg file has been uncommitted. With one svg file everything works.",BrRenat,2017-03-27 17:54:30
688,2017-03-23 16:47:39,addresses https://github.com/svg/svgo/issues/395,pklingem,2017-03-25 19:17:23
688,2017-03-25 19:17:27,Thanks!,GreLI,2017-03-25 19:17:23
688,2017-03-27 14:59:24,@GreLI any chance you could cut a release for us now that this has been merged? ,pklingem,2017-03-25 19:17:23
688,2017-03-27 17:55:39,It's not ready yet. There are plans for major release.,GreLI,2017-03-25 19:17:23
688,2017-03-27 18:33:11,"thanks for the quick response, we'll lock to the sha for the time being.",pklingem,2017-03-25 19:17:23
687,2017-03-23 13:24:43,"@caub thanks for catching it
@GreLI Why tests were green? ",Yeti-or,2017-03-23 17:45:39
687,2017-03-23 17:45:30,This plugin isn't covered. Actually it's quite outdated and I'm going to remove it.,GreLI,2017-03-23 17:45:39
686,2017-03-22 18:45:43,"This is a simple plugin that allows you to add height and width dimensions based off the viewbox. It was made to deal with browser issues with rendering SVGs by default with 0x0 dimensions. This can be solved alternatively by giving the SVG a height / width through CSS. Setting a width/height in the SVG may not be desired.

Definitely open to thoughts and improvements! This was based off other plugins, removeDimensions and addAttributesToSVGElement.
",nym,2017-03-25 18:40:03
686,2017-03-23 09:59:54,"it's fun because I'm doing the opposite, removing width and height when there's a viewBox. Width/height are really not necessary, like for jpeg/png, it's stylable in css",caub,2017-03-25 18:40:03
686,2017-03-23 15:43:42,"@caub Totally width/height are not typically necessary. In my case, it allowed for just updating assets instead of deploying a new version of the app I'm working on.  Had I not been time / deployment constrained, I would have used removeDimensions and set the dimensions in CSS ;-)",nym,2017-03-25 18:40:03
686,2017-03-25 07:55:35,"@nym for doing something simple like this, I would do that: 
https://github.com/caub/svgo/blob/browser/test/browser.js#L38-L45

I've added .js2svg in lib/svgo.js then I can modify the result tree, remove attributes on svg, then stringify again

<S_CODE_TOKEN>
and result2 is 25 chars shorter as expected

You want to do the opposite, remove viewBox, but it's similar",caub,2017-03-25 18:40:03
686,2017-03-25 18:40:03,"Thanks for commitment! However, this plugin has nothing to do with optimizing and thus I cannot accept it.

Unfortunately, SVGO is already somewhat bloated with such plugins, so it needs to focus on its main purpose to keep things as simple as possible. Feel free to use it by yourself, the plugin system was done to be easy to extend like this. Best wishes!",GreLI,2017-03-25 18:40:03
685,2017-03-22 06:11:44,,Yeti-or,2017-03-22 08:51:49
685,2017-03-22 08:51:59,Thanks!,GreLI,2017-03-22 08:51:49
685,2017-03-23 13:16:28,@caub could you explain where is the typo ?,Yeti-or,2017-03-22 08:51:49
685,2017-03-23 13:21:14,https://github.com/svg/svgo/commit/4495a34f55560b2bc05cf837ba9dd01ca20cd479#diff-e2a39016bf512698d27bb1591c306096  so in plugins/transformsWithOnePath.js l:38 it should be `_path.relative2absolute`,caub,2017-03-22 08:51:49
685,2017-03-23 13:27:02,fixed it here: https://github.com/svg/svgo/pull/687,Yeti-or,2017-03-22 08:51:49
684,2017-03-15 17:06:00,"Is it possible with any combination of settings to prevent `aria-*` attributes from being remove from the `<svg>` tag when optimising? 

I have tried all options that seem relevant to this but have had no luck so far:
<S_CODE_TOKEN>

This is quite important as the `aria-labelledby` and `aria-describedby` attributes allow screen readers to interpret the content of inline SVG's.",MrFirthy,
684,2017-03-15 18:56:14,"I believe they're removed by `removeUnknownsAndDefaults` as unknowns. But your config is set incorrect, there should be an array of plugins in `plugins` param.",GreLI,
683,2017-03-13 13:38:25,,dpanchenko,2017-03-25 19:15:35
683,2017-03-25 19:15:35,"Since this plugin doesn't correctly parse CSS, it can break images in unexpected ways. You may be interested in the effort being done in #592.",GreLI,2017-03-25 19:15:35
682,2017-03-11 23:35:24,"The <defs> and <use> elements are great for code reuse. However, theoretically there are some cases in which getting rid of them would result in a smaller SVG file size. For example, currently plugins like ""mergePaths"" have no effect on SVG elements referenced by <use> tags. If the <use> tag were to be replaced with a deep clone of the content it references, the ""mergePaths"" plugin would potentially be able to simplify things even further (depending on the referenced content, of course).

Anyway, I'm just wondering if this has ever been suggested/proposed before. :)",alexjlockwood,
682,2017-03-21 22:05:17,I second the need for this!,peternowell,
681,2017-03-10 23:07:42,"Feature Req: Add Option to export groups as separate indipendent svg files

Rationale: Almost all artists draw their svg icons in a single svg document, so they can make global modifications or just compare on the same layout the various icon styles. 
It is a bother and a waste of time to have to save each icon separatedly after every update to such master svg file.
A very useful feature of svgo would then be the option to load an svg and export all groups (only those that are children of the root node, of course) as separate svg files.

The requisites are:

1 - The name of each exported svg file should be the group id.
2 - The coordinates should be transformed to be relative to the group bounding box (similar to the inkscape option 'resize the page to fit selected elements')
3 - The viewport and the viewBox of each svg should also be generated to fit the group bounding box
4 - Each svg should carry the definitions of the original file that it needs and discards the others
5 - All the resulting svg files should be valid svg v1.1 files, and when viewed in browsers they should have the exact size of the original group bounding box, only translated to 0,0




",Emasoft,2017-03-11 08:38:23
681,2017-03-11 08:38:23,"Unfortunately, it's an image editing request, not optimizing one, so it's out of scope.",GreLI,2017-03-11 08:38:23
680,2017-03-10 22:23:34,"SVGs exported from Adobe Illustrator make often extensive use of clipPath and mask elements. Sometimes those clipped or masked elements are as big as the image even if the part displayed in the end is very small. Those are very slow because of multiple layers redraw and also tend to bloat the code. A clipPath applied on a closed curve or a polygon can be easily replaced by a single curve with a simple boolean operation.

 In my tests with Inkscape I've found that an svg file with 5-6 layers of complex closed curves + clipPaths exported from Adobe Illustrator can be flattened with boolean operations and resulting in a single merged element made of closed paths with no loss of quality.
 Masks can be also transformed in flat shapes using alpha colors and bezier curves.

The result is identical to the original svg image, only flattened and with reduced overdraw.",Emasoft,
680,2017-03-11 08:40:26,Path merging and computation is a complex topic. Can you suggest an effective algorithm (i.e. better then O(n²))?,GreLI,
679,2017-03-10 17:20:05,"I'm trying to minify an svg I think is from Illustrator which contains lots of unused style classes but minifyStyles doesn't actually remove them... is this expected?

<S_CODE_TOKEN>

After it's just removed the spaces/new lines.

Thanks!
",ianchadwick,2017-03-11 08:43:07
679,2017-03-11 08:43:07,"Yep, SVGO can't parse styles for now. That would bring a significant code complication. There is an effort in #592, though I doubt in its performance.",GreLI,2017-03-11 08:43:07
679,2017-03-14 16:28:25,"@GreLI but it does, not directly but via CSSO.
@ianchadwick By default minifyStyles should remove unused styles based on usage data. There are few exceptions:
- SVG contains `<script>` element
- some elements have an `on*` attribute (event handler)

If something from the list is found in SVG, minifyStyles decides that style removal is unsafe. You can force removal by setting `usage.force` option to `true` (see [example](https://raw.githubusercontent.com/svg/svgo/master/test/plugins/minifyStyles.09.svg)).
I admit a problem with minifyStyles. Let me know if you found cause of the problem.",lahmatiy,2017-03-11 08:43:07
679,2017-03-16 08:34:38,"I understood the problem. Unused styles removal feature were introduced in PR #640. But it's not released yet.
@GreLI When are you planning publish a new version?",lahmatiy,2017-03-11 08:43:07
679,2017-03-16 09:00:10,"@lahmatiy thanks for the extra info.

Neithier of those exceptions are true for the SVG i'm attempting to minify. 

Here's what I've tried:

`svgo 1.svg 1.min.svg --pretty --enable=minifyStyles --config '{""plugins"":[{""minifyStyles"":{""usage"":{""force"":true}}}]}'`

Here are the before and after shots.

Before: [Fat file](http://pastebin.com/raw/6Znrpmp0)
After: [Minified(ish)](http://pastebin.com/raw/F1p6q2we)

The SVG only needs 9/10 of the first classes the rest are not used.

@GreLI If by performance you mean speed of conversion this is a complete non issue for me. I'd much rather spend 1 minute making a file 90% smaller than extra ms & bandwidth on every single request :)

Thanks!",ianchadwick,2017-03-11 08:43:07
679,2017-03-16 09:12:24,"@ianchadwick Do you use version from npm or github master? Version on npm hasn't unused style removal feature. Wait for upcoming release or try version from master.

> If by performance you mean speed of conversion this is a complete non issue for me.

I guess @GreLI misunderstood you, because mentioned issued #592 doesn't relate to your problem.",lahmatiy,2017-03-11 08:43:07
679,2017-03-16 09:26:38,@lahmatiy npm... just tried from master and it's working as expected. Thank you!!!,ianchadwick,2017-03-11 08:43:07
678,2017-03-09 14:46:46,"if you have svgs with unquoted attributes such as:
`xmlns=""http://www.w3.org/2000/svg"" width=20px height=20px`

The error: `Error in parsing SVG: Unquoted attribute value` is emitted.

I've created a loader to temporary fix this in webpack:
https://www.npmjs.com/package/xml-fix-loader

<S_CODE_TOKEN>",vzaidman,
677,2017-03-09 13:48:15,"I'm trying to run a few plugins over a folder of svgs and none of them are working. Can you enable more than one plugin at a time via the CLI?

Example command:
`svgo -f INPUT -o OUTPUT -p 1 --enable='removeTitle, removeDesc, removeDimensions'`",mrmohtas,2017-03-11 08:44:47
677,2017-03-10 12:53:17,"After some investigation I've found out the way to use multiple plugins

`svgo -f INPUT -o OUTPUT -p 1 --enable=removeTitle --enable=removeDesc --enable=removeDimensions`

Not the best way to do it and not well documented... Failing silently isn't helpful either",mrmohtas,2017-03-11 08:44:47
677,2017-03-11 08:44:47,"Well, that's a standard command-line syntax. In bash you can use curly brackets like
<S_CODE_TOKEN>
Can't say about other terminals.",GreLI,2017-03-11 08:44:47
676,2017-03-07 09:13:25,"<S_CODE_TOKEN>

I've checked v0.7.1, it has `.svgo.yml` at the root dir.",e-cloud,2017-03-07 09:16:32
676,2017-03-07 09:16:32,"sorry, I find out it's broken by yarn's clean command.",e-cloud,2017-03-07 09:16:32
675,2017-03-02 16:52:02,"## Problem

Removing the xml processing instruction breaks mime type detection using `file`.  I've tested this with both:

- file-5.22 on Debian 8 (jessie)
- file-5.04 on OSX 10.11.6

A number of other programs depend on file's mime type detection to avoid mime type spoofing.  (In my case, I ran across it with the ruby gem Paperclip.)

## Steps to reproduce

Using svgo 0.7.2 and node v6.9.5:

<S_CODE_TOKEN>

## Suggested resolution

Make `removeXMLProcInst` a non-default option.",posgarou,2017-03-11 08:46:08
675,2017-03-11 08:46:08,"See #306. MIME-detection is broken, use correct tools for your tasks.",GreLI,2017-03-11 08:46:08
