issue_num,datetime,body,login,mention_login
688,2017-03-27 14:59:24,@GreLI any chance you could cut a release for us now that this has been merged? ,pklingem,GreLI
686,2017-03-23 15:43:42,"@caub Totally width/height are not typically necessary. In my case, it allowed for just updating assets instead of deploying a new version of the app I'm working on.  Had I not been time / deployment constrained, I would have used removeDimensions and set the dimensions in CSS ;-)",nym,caub
686,2017-03-25 07:55:35,"@nym for doing something simple like this, I would do that: 
https://github.com/caub/svgo/blob/browser/test/browser.js#L38-L45

I've added .js2svg in lib/svgo.js then I can modify the result tree, remove attributes on svg, then stringify again


and result2 is 25 chars shorter as expected

You want to do the opposite, remove viewBox, but it's similar",caub,nym
679,2017-03-14 16:28:25,"@GreLI but it does, not directly but via CSSO.
@ianchadwick By default minifyStyles should remove unused styles based on usage data. There are few exceptions:
- SVG contains `<script>` element
- some elements have an `on*` attribute (event handler)

If something from the list is found in SVG, minifyStyles decides that style removal is unsafe. You can force removal by setting `usage.force` option to `true` (see [example](https://raw.githubusercontent.com/svg/svgo/master/test/plugins/minifyStyles.09.svg)).
I admit a problem with minifyStyles. Let me know if you found cause of the problem.",lahmatiy,GreLI
679,2017-03-14 16:28:25,"@GreLI but it does, not directly but via CSSO.
@ianchadwick By default minifyStyles should remove unused styles based on usage data. There are few exceptions:
- SVG contains `<script>` element
- some elements have an `on*` attribute (event handler)

If something from the list is found in SVG, minifyStyles decides that style removal is unsafe. You can force removal by setting `usage.force` option to `true` (see [example](https://raw.githubusercontent.com/svg/svgo/master/test/plugins/minifyStyles.09.svg)).
I admit a problem with minifyStyles. Let me know if you found cause of the problem.",lahmatiy,ianchadwick
679,2017-03-16 08:34:38,"I understood the problem. Unused styles removal feature were introduced in PR #640. But it's not released yet.
@GreLI When are you planning publish a new version?",lahmatiy,GreLI
679,2017-03-16 09:00:10,"@lahmatiy thanks for the extra info.

Neithier of those exceptions are true for the SVG i'm attempting to minify. 

Here's what I've tried:

`svgo 1.svg 1.min.svg --pretty --enable=minifyStyles --config '{""plugins"":[{""minifyStyles"":{""usage"":{""force"":true}}}]}'`

Here are the before and after shots.

Before: [Fat file](http://pastebin.com/raw/6Znrpmp0)
After: [Minified(ish)](http://pastebin.com/raw/F1p6q2we)

The SVG only needs 9/10 of the first classes the rest are not used.

@GreLI If by performance you mean speed of conversion this is a complete non issue for me. I'd much rather spend 1 minute making a file 90% smaller than extra ms & bandwidth on every single request :)

Thanks!",ianchadwick,GreLI
679,2017-03-16 09:00:10,"@lahmatiy thanks for the extra info.

Neithier of those exceptions are true for the SVG i'm attempting to minify. 

Here's what I've tried:

`svgo 1.svg 1.min.svg --pretty --enable=minifyStyles --config '{""plugins"":[{""minifyStyles"":{""usage"":{""force"":true}}}]}'`

Here are the before and after shots.

Before: [Fat file](http://pastebin.com/raw/6Znrpmp0)
After: [Minified(ish)](http://pastebin.com/raw/F1p6q2we)

The SVG only needs 9/10 of the first classes the rest are not used.

@GreLI If by performance you mean speed of conversion this is a complete non issue for me. I'd much rather spend 1 minute making a file 90% smaller than extra ms & bandwidth on every single request :)

Thanks!",ianchadwick,lahmatiy
679,2017-03-16 09:12:24,"@ianchadwick Do you use version from npm or github master? Version on npm hasn't unused style removal feature. Wait for upcoming release or try version from master.

> If by performance you mean speed of conversion this is a complete non issue for me.

I guess @GreLI misunderstood you, because mentioned issued #592 doesn't relate to your problem.",lahmatiy,ianchadwick
679,2017-03-16 09:12:24,"@ianchadwick Do you use version from npm or github master? Version on npm hasn't unused style removal feature. Wait for upcoming release or try version from master.

> If by performance you mean speed of conversion this is a complete non issue for me.

I guess @GreLI misunderstood you, because mentioned issued #592 doesn't relate to your problem.",lahmatiy,GreLI
