issue_num,datetime,body,login,close_date
677,2017-03-17 14:01:14,"Added width and float to H2 to override any more general formatting set by other style sheets.
My situation was a style sheet which set float:left on ""h2"" which also applied to the header in the popup and screwed up the positioning forcing the title and text to appear side by side.",CSmither,
676,2017-03-13 11:34:37,"I add Image but alert icon `<div class=""sa-icon sa-info"" style=""display: block;""></div>` is still there
how can I remove it?

` swal({
                    title: ""Send "",
                    text: ""Send"",
                    type: ""info"",
                    showCancelButton: true,
                    closeOnConfirm: false,
                    showLoaderOnConfirm: true,
                    confirmButtonText:""ok"",
                    confirmButtonColor:""#5cb85c"",
                    cancelButtonText:""cancel"",
                    imageUrl:'/img/logo.png',
                },
                function(){
                    setTimeout(function(){
                        $.ajax({
                            method:'POST',
                            url:'/store',
                            headers: {
                                'X-CSRF-TOKEN': CSRF_TOKEN
                            },
                            data:arr,
                            success:function(response){
                                console.log(arr)
                            }
                        });

                        swal(""OK!"");
                    }, 500);
                });`",Linton-Samuel-Dawson,2017-03-13 12:48:03
676,2017-03-14 13:32:42,"Just remove type: ""info""",ekv88,2017-03-13 12:48:03
675,2017-03-10 09:59:58,"Hi,

after discussing with many people how they expect where OK and Cancel are, I would ask for an enhancement, because your implementation use an unexpected order. 

I would like to have an option where I can specify the order of the buttons...",mmrupp1,
675,2017-03-16 10:44:34,"Take a look on https://github.com/limonte/sweetalert2 it has reversed buttons order by default. Also, there's the `reverseButtons` parameter so you can always configure the order of buttons.",limonte,
675,2017-03-17 08:35:56,"Got it. Thanks.

Michael

From: Limon Monte [mailto:notifications@github.com]
Sent: 16 March 2017 11:45
To: t4t5/sweetalert <sweetalert@noreply.github.com>
Cc: Michael Rupp <michael.rupp@uptodata.de>; Author <author@noreply.github.com>
Subject: Re: [t4t5/sweetalert] Possibility to change order of buttons (#675)


Take a look in https://github.com/limonte/sweetalert2 it has reversed buttons order by default. Also, there's the reverseButtons parameter so you can always configure the order of buttons.

—
You are receiving this because you authored the thread.
Reply to this email directly, view it on GitHub<https://github.com/t4t5/sweetalert/issues/675#issuecomment-287020268>, or mute the thread<https://github.com/notifications/unsubscribe-auth/AZGqpPKqSjL-6uF5xjKfIlzMwBIGI_U7ks5rmRKagaJpZM4MZMHX>.
",mmrupp1,
674,2017-03-07 16:53:25,"I have setting like this 

<S_CODE_TOKEN>

Then I run above code I got 'TRUE' show in UI instead sweetalert parse html as my expectation 

<img width=""543"" alt=""screen shot 2560-03-07 at 11 48 25 pm"" src=""https://cloud.githubusercontent.com/assets/1640817/23667501/a94f9194-0390-11e7-89f9-0690f661ec55.png"">
",avatarr,2017-03-11 16:55:22
674,2017-03-10 16:34:33,"Hi @avatarr 

I think you confuse https://github.com/t4t5/sweetalert and https://limonte.github.io/sweetalert2/

If you get true instead of html parsed, you use sweetalert2 so you must setting like this : 

<S_CODE_TOKEN>",ajoah,2017-03-11 16:55:22
674,2017-03-11 16:55:22,@ajoah Thank you for your help and I have solved,avatarr,2017-03-11 16:55:22
673,2017-03-01 06:10:04,"
![image](https://cloud.githubusercontent.com/assets/6716184/23447833/91e5387c-fe88-11e6-956e-20c9e96378a2.png)
the ""text"" area can't show complete,   add ""word-break"" property , may be show better!",linkerr,
