issue_num,datetime,body,login,mention_login
674,2017-03-10 16:34:33,"Hi @avatarr 

I think you confuse https://github.com/t4t5/sweetalert and https://limonte.github.io/sweetalert2/

If you get true instead of html parsed, you use sweetalert2 so you must setting like this : 

",ajoah,avatarr
674,2017-03-11 16:55:22,@ajoah Thank you for your help and I have solved,avatarr,ajoah
673,2017-03-16 16:00:03,"Hi @linkerr! It seems like this repo is currently inactive, so I made [sweetalert2](https://github.com/limonte/sweetalert2). 

The content in SweetAlert2 has `word-break: break-word` by default",limonte,linkerr
656,2017-02-08 11:01:51,@jeffmath I switched to https://github.com/limonte/sweetalert2 to solve that,Zorgatone,jeffmath
630,2017-01-23 01:41:54,"Hey @geodeveloper

Do you have a callback function after the input swal?

If so, I assume you have another swal as the success message, which has its own settings (none of which are inherited by its parent). You would have to redeclare the `showCancelbutton` property.",fallen-rve,geodeveloper
630,2017-01-24 16:27:09,"Hi @fallen-rve,
Yes I have a callback function. I've took the example of input from official sweetalert website and just added the default config on top. Take a look here --> https://jsfiddle.net/a836z9xv/ so you can see the bug.

Thanks for your time.",geodeveloper,fallen-rve
630,2017-01-29 00:54:40,"@geodeveloper gotcha!

That is the expected behavior of `setDefaults`. If you set the `setDefaults` property, it'll apply to all of your SweetAlerts, regardless if it's the shorthand or longhand versions.

From the documentation:
> If you end up using a lot of the same settings when calling SweetAlert, you can use setDefaults at the start of your program to set them once and for all!

Let me know if that clears it up.

Thanks!",fallen-rve,geodeveloper
612,2016-09-06 03:26:26,"@teddymail  cancelButtonColor这个参数并不存在，仅仅存在confirmButtonColor这个参数，你可以查看[中文版文档](http://www.mishengqiang.com/sweetalert/)，如果你非常想使用sweetalert，我建议你使用[sweetalert2](https://github.com/limonte/sweetalert2/)，sweetalert2是有cancelButtonColor这个参数的。
",mishengqiang,teddymail
609,2016-09-06 03:42:06,"@souzamarcos I suggest you use [sweetalert2](https://github.com/limonte/sweetalert2)
",mishengqiang,souzamarcos
609,2016-09-10 19:25:12,"Thanks @mishengqiang. I'll use
",souzamarcos,mishengqiang
587,2016-06-13 10:25:18,"Thanks @limonte, the fiddle doesn't seem to be working, but I can see now how it works :)
",Creationsphere,limonte
575,2016-04-21 18:42:41,"Thx a lot @limonte ... that's awesome!
",rafaelcastrocouto,limonte
575,2016-04-25 13:27:07,"@limonte thanks!
",huglester,limonte
574,2016-04-18 20:32:54,"@eterry1388 I somehow missed that's where all the action is now. :)
",littlekid,eterry1388
