issue_num,datetime,body,login,mention_login
571,2016-04-26 11:10:17,"hello @t4t5 thank you so much for getting back to us and my apologies for saying that. Open source is both a gift and a curse, that's why collaborators are here for.

I know that sometimes we need to focus on something else and it's always a good choice to invite collaborators.

Perhaps we could merge your repo with sweetalert2?

Cheers
",diego-vieira,t4t5
530,2017-02-20 04:25:16,Thanks @t4t5 i understood your point and @lancedouglas1 thanks for your swal-form link ...,sunilsmith,t4t5
456,2015-10-08 09:52:18,"@t4t5 - yes, the email did submit at first until I modified the code in an attempt to stop the send function if nothing was typed in the fields.

Surely there has to be a way to stop SweetAlert from submitting the form and verify there are actually valid values entered in the fields? I would really like to get form validation working on Swal. Otherwise I am looking at using Wordpress' Contact Form 7 with pop-up as a work around.
",henryg0mez,t4t5
440,2015-10-20 09:47:28,"@t4t5 It's just a convention. Some of projects (eg. React, Redux) put source code (es6, es7) in `src`, compiled es5 in `lib`, umd and minified files in `dist`.
",chentsulin,t4t5
440,2015-10-20 10:00:17,"@chentsulin Oh I see. Seems like a good convention. Merging now.
",t4t5,chentsulin
440,2015-10-20 11:14:47,"@t4t5 why a `.npmignore` in the published module (1.1.1)?



`lib` in `.npmignore` will break this module. Must remove it.
",chentsulin,t4t5
440,2015-10-20 17:25:43,"@chentsulin :+1:  @t4t5 
",chibicode,chentsulin
440,2015-10-20 17:25:43,"@chentsulin :+1:  @t4t5 
",chibicode,t4t5
440,2015-10-20 20:21:21,"+1 to what @chentsulin is saying. we're getting `Module not found: Error: Cannot resolve module 'sweetalert'`because package.json is pointing to `lib`, but `lib` is being ignored: http://cl.ly/image/2j1T0b2y461D
",adamrneary,chentsulin
440,2015-10-21 06:12:12,"My bad, there is still one more thing I forgot:

https://github.com/t4t5/sweetalert/blob/master/dev/sweetalert.es6.js#L68

@t4t5 Can we just add a `export default` here? This one works in CommonJS env (tested in webpack).
",chentsulin,t4t5
440,2015-10-21 09:23:09,"@chentsulin lol, really bumping those version numbers today. Everything working now? :)
",t4t5,chentsulin
440,2015-10-21 10:07:42,"@t4t5 It works great now. Your help was greatly appreciated !!!
",chentsulin,t4t5
440,2015-10-21 10:10:49,"@chentsulin Oh I did nothing, thank YOU good sir for helping out! :grinning: 
",t4t5,chentsulin
440,2015-10-21 19:44:22,"@t4t5 thank you!
",chibicode,t4t5
419,2015-08-05 10:57:19,"Hey @t4t5 - yes at this part there's no PHP Output.. PHP is just down in the AJAX Call. I've tried it anyway, with PHP (without alert) it works, yes.
",tidet,t4t5
409,2015-07-29 16:45:26,"@t4t5 Agreed. If you want to be generous, this is a stop-gap (i.e. it's a hack). I was trying to think of more elegant way to do this, but everything more structured felt less flexible.

If I can help, let me know.
",samhavens,t4t5
409,2015-07-29 18:09:17,"@t4t5 I think that's a good solution. Currently isn't there only one sweet
alert object, and it gets modified every time it pops up? Will having
multiples around throw anything off?

On Wed, Jul 29, 2015 at 11:02 AM, Tristan Edwards notifications@github.com
wrote:

> @samhavens https://github.com/samhavens What do you think of being able
> to add your sweetalert markup directly in the DOM? Like this:
> 
> <div class=""sweet-alert"" id=""delete-modal"">
>   <h2>Deleted!</h2>
>   <p>Your file was deleted!</p>
>   <button class=""confirm"">OK</button>
> </div>
> 
> And then open if by passing a jQuery element or a DOM node to the
> swal-function:
> 
> swal($('#delete-modal'));
> 
> I think it would solve a lot of problems that people have with
> ""over-customizing"", like adding a third button, implementing a form... etc.
> 
> —
> Reply to this email directly or view it on GitHub
> https://github.com/t4t5/sweetalert/pull/409#issuecomment-126042433.
",samhavens,t4t5
