issue_num,datetime,body,login,close_date
1848,2017-03-23 02:09:39,"## Meta
Capybara Version:
2.8.1
Driver Information (and browser if relevant):
Poltergeist, Chrome

## Expected Behavior
    within '.main-navigation' do
      click_link 'Blog'
    end

should find the link 'Blog'
## Actual Behavior
     Failure/Error: click_link 'Blog'
     
     Capybara::ElementNotFound:
       Unable to find link ""Blog""

## Steps to reproduce
<S_CODE_TOKEN>
If I move the Blog link outside of the .collapse div test passes
Inside of .collapse Capybara doesn't find the link even though save_and_open_page displays Blog link.
",dxypher,2017-03-23 05:18:42
1848,2017-03-23 05:18:42,"The .collapse would by default be non-visible on the page -- save_and_open_page just saves the HTML without the CSS - a better test for you would be `save_and_open_screenshot` which will actually show what is visible and non-visible on the page.  If you haven't clicked on the button to toggle the menu before attempting to click the link then it definitely won't work.  If you have then show your full test code that you expect to work, and we can reopen this.",twalpole,2017-03-23 05:18:42
1847,2017-03-16 22:25:19,The markdown formatting in `History.md` is messed up.  This PR gets History.md looking awesome again.,roberts1000,2017-03-16 22:35:41
1847,2017-03-16 22:35:38,Hmmm -- not sure what happened there - thanks.,twalpole,2017-03-16 22:35:41
1847,2017-03-16 22:45:12,"Thanks for merging.  Any interest in renaming History.md to CHANGELOG.md if I submit another PR?  I typically look for a CHANGELOG.md first, when a new gem version comes out.  Seems like more and more gems are using a CHANGELOG.md instead of a History.md lately.",roberts1000,2017-03-16 22:35:41
1847,2017-03-16 22:52:17,@roberts1000 Not really,twalpole,2017-03-16 22:35:41
1847,2017-03-16 22:53:00,Roger.  Thanks for considering.,roberts1000,2017-03-16 22:35:41
1846,2017-03-15 14:29:29,"## Meta
Capybara Version:
2.12.1
Driver Information (and browser if relevant):
selenium-webdriver 3.3.0

## Expected Behavior
Test should not fail with exception #<NameError: undefined local variable or method `base' for nil:NilClass>

## Actual Behavior
Testcase fails with #<NameError: undefined local variable or method `base' for nil:NilClass>

## Steps to reproduce
Since update from capybara 2.11.0 to 2.12.1 we have failing tests. We do a find with a selector and fail with the NameError. The code in https://github.com/teamcapybara/capybara/blame/master/lib/capybara/session.rb#L785 contains `[nil, :frame].include? scope`. The `scope` variable in our case is `#<Capybara::Node::Element tag=""article"" path=""/html/body/div[1]/main/div[2]/div/div/div/div[2]/div[1]/div/div/section/article[3]"">`. The `include?` check subsequently hits https://github.com/teamcapybara/capybara/blob/master/lib/capybara/node/matchers.rb#L677 where `self` is the `nil`-value passed on from the code in `session.rb`. Since `nil` does not have a `base` method, we see the error.

This issue only seems to happen in test cases, where we use within.

## Stacktrace
<S_CODE_TOKEN>",Aqualon,2017-03-15 17:28:28
1846,2017-03-15 14:46:16,Please show an example of a test that causes this,twalpole,2017-03-15 17:28:28
1846,2017-03-15 16:12:51,"If found this minimal testcase breaking with capybara 2.12.1 and working with 2.11.0

<S_CODE_TOKEN>

If I remove the `include Capybara::Node::Matchers`, the test works. With it I get the error

<S_CODE_TOKEN>

The include happens in an internal gem used to set up integration tests across teams in my company, so I don't know exactly what was the use case behind adding it.

But to me it looks like this is accidentally overwriting the `==` method, so the include? check fails.",Aqualon,2017-03-15 17:28:28
