issue_num,datetime,body,login,mention_login
1847,2017-03-16 22:52:17,@roberts1000 Not really,twalpole,roberts1000
1846,2017-03-15 16:39:20,@Aqualon  Thanks for that - investigating,twalpole,Aqualon
1846,2017-03-15 16:51:07,@Aqualon  What driver are you using?,twalpole,Aqualon
1846,2017-03-15 17:09:41,"@Aqualon I think it looks like your inclusion of Capybara::Node::Matchers is overriding the == method of nil, or Symbol ? --  Capybara::Node::Matchers is only for inclusion into  Capybara::Node::Base and Capybara::Node::Simple - so I think this is user error and you're going to have to figure out why you're including Capybara::Node::Matchers anywhere else.",twalpole,Aqualon
1845,2017-03-11 23:02:15,"@twalpole Thanks a lot for your quick feedback. I have corrected affected drivers. You are right, originally I tested on phantomjs driver (selenium-webdriver gem). You also are right regarding edge case when a title is missing in a frame. I proposed a raw code.

If the bug is fully connected with selenium-webdriver gem, I suggest to post the corresponding issue there and close this one. At least other users will have an ability to find this conversation about the problem.",romikoops,twalpole
1845,2017-03-13 20:13:25,"@romikoops Yes there is currently some inconsistency between drivers behavior in this but since we generally tend to lean towards the webdriver definition of things we'll probably end up making the current selenium behavior the ""correct"" one - which is that title and current_url refer to the top level browsing context and not the frames as specified here - https://w3c.github.io/webdriver/webdriver-spec.html#get-current-url - which correspond to what users can actually see in the browser.   Monkey patching different behavior into Capybara is a terrible idea, you'd be much better off adding methods like `frame_url` and `frame_title` or something",twalpole,romikoops
1845,2017-03-13 22:29:16,"@mhoran Yeah -- I'm wavering between whether Capybara should add `frame_url` and `frame_title` driver methods (and then maybe allow a parameter for assert_current_path, assert_title to choose that the user wants frame level) or make seleniums `title` and `current_url` return the frames info when in the frame context.   The first would more align with the webdriver spec (and I prefer to go towards that), but I'm having a hard time coming up with a case where it makes sense to want to check the pages URL from inside a frame context.",twalpole,mhoran
1845,2017-03-14 03:40:49,"Yeah, I agree. I think the top frame makes sense.

On Mon, Mar 13, 2017 at 03:29:21PM -0700, Thomas Walpole wrote:
> @mhoran Yeah -- I'm wavering between whether Capybara should add `frame_url` and `frame_title` driver methods (and then maybe allow a parameter for assert_current_path, assert_title to choose that the user wants frame level) or make seleniums `title` and `current_url` return the frames info when in the frame context.   The first would more align with the webdriver spec, but I'm having a hard time coming up with a case where it makes sense to want to check the wholes pages URL from inside a frame context.
> 
> -- 
> You are receiving this because you were mentioned.
> Reply to this email directly or view it on GitHub:
> https://github.com/teamcapybara/capybara/issues/1845#issuecomment-286263845

-- 
Matt Horan matt@matthoran.com http://matthoran.com/
",mhoran,mhoran
1845,2017-03-14 17:01:24,"@route - yes there is.  

Ok, so I think the consensus is that current_url and title when called on the session should return the top level context url and title (that which would be shown in the browser) which is how selenium currently works. For Capybara 2.14, not the 2.13 release going out today/tomorrow, I'll add tests for that (will require changes in poltergeist and capybara-webkit) and look at possibly adding some frame specific title and url methods.  Sound good?",twalpole,route
1845,2017-03-14 18:09:15,@twalpole yep perfect,route,twalpole
1845,2017-03-14 18:39:44,@twalpole Amazing! Let me know if I can help you with something.,romikoops,twalpole
1843,2017-03-07 16:49:12,@twalpole thanks for the feedback - I brought back a `Test::Unit` specific section to the README and left the Rails/Minitest after it.,lucasmazza,twalpole
1839,2017-02-28 19:14:29,@rugill If that is this issue then it would be a selenium bug (or possibly geckodriver/chromedriver) and not much Capybara can do about it - although I don't know why adding sleeps would make it pass then (unless the page is animating something as selenium scrolls it so the click ends up in the wrong place - would still be a selenium bug),twalpole,rugill
1839,2017-02-28 20:43:58,"@rugill I just noticed the point (35, 24) that it's trying to click at.  That point would put it behind the fixed header so I would expect another element to receive the click, i.e. it's behaving correctly.  The thing is that when an element needs scrolling to be seen selenium attempts to scroll it to the top of the page, there's a capability 'elementScrollBehavior' that you can set to 1 which will make it scroll to the bottom of the page (if chromedriver has implemented that capability), although that may not help here either due to the fixed footer in the section which it would probably end up behind.  Your only option may be to scroll the section of the page to where you need it using `execute_script` and then click the link

Either way this isn't the same problem as the current issue.",twalpole,rugill
1839,2017-02-28 21:12:31,I've been doing more testing with this and I agree with @twalpole conclusion. I'll check into his suggestion about elementScrollBehavior with FF and see if it helps my test. Thanks.,rugill,twalpole
