issue_num,datetime,body,login,close_date
131,2017-02-17 00:49:22,"Is it possible to add a text message below the spinner?
Naive approach didn't work.",Vanuan,2017-02-17 06:41:13
131,2017-02-17 06:28:00,"what do you mean exactly?

you have every option html and css offers you. there is no ""native"" option given by SpinKit.
Here are two examples adding text below: https://jsfiddle.net/v02f6to7/
if you want the text also to be spinning or attached to the animation you first have to look at the animation css itself and decide if you add extra html / text in the spinner element itself or if pseudo elements are an option.

hope i could help you.
this isn't an issue, more an faq request. should be closed.",ATBO,2017-02-17 06:41:13
131,2017-02-17 06:41:13,Thanks.,Vanuan,2017-02-17 06:41:13
130,2017-01-18 06:23:27,"<img width=""74"" alt=""screen shot 2017-01-15 at 10 27 16 pm"" src=""https://cloud.githubusercontent.com/assets/306293/22053072/37683ca6-dd03-11e6-8329-21c005b905c3.png"">

I have been wrestling with this for a while. Using a CSS diff tool and I can't find the difference between the sample code (using scss) and my project. Can anyone point me as to what might cause the sk-wave to squish like this?

I am using this in a ReactJS application. Interestingly, as soon as I put it in the react application jsx, I get this issue. Works fine when I have it in the app's container html. See below (html above, jsx below)

<img width=""129"" alt=""screen shot 2017-01-17 at 11 03 32 pm"" src=""https://cloud.githubusercontent.com/assets/306293/22054216/438639ba-dd09-11e6-91cf-4da4515b4262.png"">
",nsainaney,2017-02-03 20:58:01
130,2017-01-31 18:35:13,"@nsainaney  u may use https://github.com/bentatum/better-react-spinkit for ur usecase.
according to the docs you can change gutter width and more easily. (http://better-react-spinkit.benjamintatum.com/#!/Wave)",ATBO,2017-02-03 20:58:01
130,2017-02-03 20:58:01,Thanks!,nsainaney,2017-02-03 20:58:01
129,2017-01-06 09:03:39,"hey tobias, just wanted to share that fix. there also might be a possible ""future"" problem with gulp-autoprefixer because of the changes currently made in postcss/autoprefixer.
thanks for ur spinners 👍 ",ATBO,
128,2017-01-06 08:57:00,iOS issue with animation-delay. see @ http://i.xomf.com/nhqkq.gif,ATBO,
127,2016-12-09 12:47:53,"Is this possible? I've been mucking around with jQuery and CSS for the last hour or two trying to figure this out, probably something really simple, lol.",simpleidiot,
127,2017-01-06 16:59:46,"which spinner do you mean?
just define a background to the element the spinner depends on.
for example: 'rotating-plane' https://jsfiddle.net/y7yqusgr/
if you want to use the spinner as alpha mask, for example on the ""cubemove"" one, you could create svg masks and animate them with javascript.
there are some libs such as https://greensock.com/gsap to accomplish that.
i haven't found a way to animate svg mask using css only yet. don't even know if this is possible.",ATBO,
126,2016-10-10 12:29:26,"Also changed:
- Bumped version
- Added more precision to animation seconds (2.0s instead of 2s).
",veldman,
125,2016-10-02 19:48:24,"#96
",GreenishBlue,2016-10-02 19:58:19
125,2016-10-02 19:54:20,"Kind of duplicates my #123 :)
",voxpelli,2016-10-02 19:58:19
125,2016-10-02 19:58:19,"Ah nevermind 
",GreenishBlue,2016-10-02 19:58:19
124,2016-10-01 11:38:49,"Added a new hexagon spinner animation.

![hexa_no-rotation](https://cloud.githubusercontent.com/assets/1512067/19013820/7f970a42-87dc-11e6-88dc-a9d217c3d2b8.gif)
",wolfika,
123,2016-09-30 07:40:50,"Enables importing them easily through the use of eg. https://www.npmjs.com/package/sass-module-importer

With that module one would simply do `@import ""spinkit"";` and get all of the files or do `@import ""spinkit/scss/spinners/1-rotating-plane"";` to import a specific spinner, all without having to know exactly where npm put the module, which if Spinkit is a sub-dependency of another package will be hard due to npm 3:s flattening of the dependency tree.
",voxpelli,
122,2016-09-21 06:03:40,"https://github.com/tobiasahlin/SpinKit/blob/master/scss/spinners/4-wandering-cubes.scss#L22-L23
",niftylettuce,
121,2016-08-10 22:35:19,"https://github.com/tobiasahlin/SpinKit/issues/120
",soumak77,
