issue_num,datetime,body,login,mention_login
130,2017-01-31 18:35:13,"@nsainaney  u may use https://github.com/bentatum/better-react-spinkit for ur usecase.
according to the docs you can change gutter width and more easily. (http://better-react-spinkit.benjamintatum.com/#!/Wave)",ATBO,nsainaney
118,2016-07-17 16:52:55,"@rajasimon Try this PR https://github.com/tobiasahlin/SpinKit/pull/113
",jmagnusson,rajasimon
118,2016-08-11 07:18:01,"@rajasimon I added scss mixins with PR #121, so you can customize the size to anything you want
",soumak77,rajasimon
110,2016-01-31 11:52:00,"@jiuyuehe Thank you! 

> do you tell me the use the frame's name?

Could you rephrase this? What frame? And what do you want to know? :smile: 
",tobiasahlin,jiuyuehe
109,2015-11-23 15:02:18,"@maliyshock Thanks for reporting :pray: Not really sure what's going on here. This is 1) Not an issue in Safari (only Chrome), 2) much less prominent outside of codepen for me, and 3) something I was unable to fix by changing the `display` property for the container, or by playing around with adding transforms (e.g. `transform: translateY(0)`) to any of the elements involved.

As far as I can tell, however, this is not an issue with SpinKit, but with how Chrome handles animations within tables, and how the spinner is being used. Closing for now.
",tobiasahlin,maliyshock
109,2015-11-24 13:34:38,"http://codepen.io/anon/pen/epaNzgThis is working 23.11.2015, 18:02, ""Tobias Ahlin"" notifications@github.com:@maliyshock Thanks for reporting  Not really sure what's going on here. This is 1) Not an issue in Safari (only Chrome), 2) much less prominent outside of codepen for me, and 3) something I was unable to fix by changing the display property for the container, or by playing around with adding transforms (e.g. transform: translateY(0) to any of the elements involved.As far as I can tell, however, this is not an issue with SpinKit, but with how Chrome handles animations within tables, and how the spinner is being used. Closing for now.—Reply to this email directly or view it on GitHub.   _______________________________С уважением, Малышок Денис.Тел.: 8(953)342-89-65http://vkontakte.ru/id260319 
",maliyshock,maliyshock
106,2015-11-23 13:20:12,"@chris--jones :pray: :heart: thank you!
",tobiasahlin,chris--jones
104,2015-11-15 07:06:19,"@tobiasahlin can you please push this to http://www.jsdelivr.com/? Do you need a new package version? 
",jarnoux,tobiasahlin
104,2015-11-18 07:20:33,"@jarnoux Will do! Sorry for the delay :bow:
",tobiasahlin,jarnoux
104,2015-11-18 09:23:24,"@jarnoux 1.2.3 is now published with this change included, jsdelivr should detect it Real Soon™ :pray: 
",tobiasahlin,jarnoux
104,2015-11-26 09:00:19,"@tobiasahlin awesome, thanks!
",jarnoux,tobiasahlin
103,2015-11-02 07:55:23,"Hmm I wonder why the regex stopped working. Perhaps it's some change in Node v4. Thanks for finding it @chris--jones, do you think you could submit that as a separate PR?

As for the animation I think @tobiasahlin will have to give his vote, considering he's the author, and CSS guru :smile: 
",jmagnusson,chris--jones
103,2015-11-04 13:58:27,"@chris--jones Thanks for this! I'm :+1: on what @jmagnusson said here, could you separate these two changes in to two separate PRs? Regex fix is an instant merge, but will need to look closer on the animation :sparkles::pray:
",tobiasahlin,chris--jones
103,2015-11-04 13:58:27,"@chris--jones Thanks for this! I'm :+1: on what @jmagnusson said here, could you separate these two changes in to two separate PRs? Regex fix is an instant merge, but will need to look closer on the animation :sparkles::pray:
",tobiasahlin,jmagnusson
103,2015-11-09 12:52:17,"@chris--jones Thanks.
",jmagnusson,chris--jones
