issue_num,datetime,body,login,mention_login
106,2015-11-23 13:20:12,"@chris--jones :pray: :heart: thank you!
",tobiasahlin,chris--jones
104,2015-11-15 07:06:19,"@tobiasahlin can you please push this to http://www.jsdelivr.com/? Do you need a new package version? 
",jarnoux,tobiasahlin
104,2015-11-18 07:20:33,"@jarnoux Will do! Sorry for the delay :bow:
",tobiasahlin,jarnoux
104,2015-11-18 09:23:24,"@jarnoux 1.2.3 is now published with this change included, jsdelivr should detect it Real Soon™ :pray: 
",tobiasahlin,jarnoux
104,2015-11-26 09:00:19,"@tobiasahlin awesome, thanks!
",jarnoux,tobiasahlin
103,2015-11-02 07:55:23,"Hmm I wonder why the regex stopped working. Perhaps it's some change in Node v4. Thanks for finding it @chris--jones, do you think you could submit that as a separate PR?

As for the animation I think @tobiasahlin will have to give his vote, considering he's the author, and CSS guru :smile: 
",jmagnusson,chris--jones
103,2015-11-04 13:58:27,"@chris--jones Thanks for this! I'm :+1: on what @jmagnusson said here, could you separate these two changes in to two separate PRs? Regex fix is an instant merge, but will need to look closer on the animation :sparkles::pray:
",tobiasahlin,chris--jones
103,2015-11-04 13:58:27,"@chris--jones Thanks for this! I'm :+1: on what @jmagnusson said here, could you separate these two changes in to two separate PRs? Regex fix is an instant merge, but will need to look closer on the animation :sparkles::pray:
",tobiasahlin,jmagnusson
103,2015-11-09 12:52:17,"@chris--jones Thanks.
",jmagnusson,chris--jones
103,2015-11-13 11:57:26,"@chris--jones Thank you! Happy travels! :raised_hands:
",tobiasahlin,chris--jones
101,2015-10-11 18:58:47,"@tobiasahlin I believe  https://github.com/tobiasahlin/SpinKit/commit/d45b25cf9f63c8c5fe7c1115ab2f921bc924319b commit never applied the ""easier to copy"" fix to the HTML/CSS examples, so it's not indentations but removed stars. And since 11-folding-cube was never added to spingkit.scss before, it's added in spinkit.css in this fork as well.
",evgenyo,tobiasahlin
101,2015-12-07 23:22:09,"@tobiasahlin No worries! Should be all fixed up :)
",evgenyo,tobiasahlin
101,2015-12-09 21:33:54,"@tobiasahlin Hello hello! I actually messed around with scale vs opacity, and personally preferred the blinking effect over shrinking because it gave me a loading vibe rather than just a pretty animation. Having said that, it's your project so you tell me what works with your vision best. I also changed the left/top/right/bottom movements to transform:translate as well. Let me know if there's anything else : )
",evgenyo,tobiasahlin
100,2015-09-07 08:31:42,"@coffee-cup :clap::clap: Clever!
",tobiasahlin,coffee-cup
85,2015-07-13 20:43:45,"@jmagnusson 

![1398](https://cloud.githubusercontent.com/assets/211284/8660317/8f547be4-29b0-11e5-97be-4b7ad52eaa9e.gif)
",tobiasahlin,jmagnusson
85,2015-07-13 21:44:17,"@jmagnusson Feeling done, mind trying this out before I merge? :eyes: :heart:
",tobiasahlin,jmagnusson
83,2015-07-13 14:08:49,"@tobiasahlin To avoid this kind of problem in the future we could perhaps integrate the demo site within this repo. Feels a bit unnecessary to have both the `examples` folder with html examples, and your separate demo page.
",jmagnusson,tobiasahlin
83,2015-07-13 19:18:31,"@jmagnusson Agree, shouldn't really be any conflicts between these two. Will see if I can just pull this repo into the demo page. 

(If we should remove anything though, we should kill the examples in this repo, since the demo page is driving a lot of traffic to the repo (if you look under https://github.com/tobiasahlin/SpinKit/graphs/traffic) - I'm all for doing that!)
",tobiasahlin,jmagnusson
81,2015-07-13 19:23:16,"@jmagnusson On it! :heart:
",tobiasahlin,jmagnusson
78,2015-05-26 13:57:07,"Thanks for the report you guys.

I'm super busy these days though... do you think you can take a look at it @tobiasahlin?
",jmagnusson,tobiasahlin
