issue_num,datetime,body,login,close_date
777,2017-03-27 10:08:33,"(Please remove this text once you've read and understood it.)

## Contributing

The project is in maintenance mode, meaning, changes are driven by contributed patches.
There is otherwise no active development or roadmap for this project. It is ""DIY"".

Only proposed changes in the form of a pull request are likely to be acted on, but,
these will be acted on promptly.

### Questions

Questions should be asked on the mailing list:
https://groups.google.com/forum/#!forum/zxing

### Feature Requests

Feature requests are not accepted and will generally be closed.
Feature requests with a pull request may be accepted. When in doubt, discuss on the
mailing list first.

### Bug Reports

Bug reports must have enough detail to understand and reproduce the problem. Inadequate
bug reports will be closed with a request for more information.

Bug reports without an associated pull request are not likely to be addressed, but will be
left open for some time to see if anyone can contribute a solution. However, bug reports
with a pull request are likely to be merged promptly.",ashuw20001,2017-03-27 10:08:53
777,2017-03-27 10:10:13,"I have capture image in gallery .I am trying to decode it but it's giving null value 
Please suggest
",ashuw20001,2017-03-27 10:08:53
776,2017-03-24 09:04:54,"I would like to use vertical procedures, I do not know if there is a solution",WZero,2017-03-24 09:11:03
776,2017-03-24 09:11:41,"I have found a solution, thank you",WZero,2017-03-24 09:11:03
775,2017-03-23 11:04:58,"android.content.res.Resources$NotFoundException: File res/raw/zxing_beep.ogg from drawable resource ID #0x7f08000c
	at android.content.res.Resources.openRawResourceFd(Resources.java:2322)
	at com.google.zxing.client.android.BeepManager.playBeepSound(SourceFile:112)
	at com.google.zxing.client.android.BeepManager.playBeepSoundAndVibrate(SourceFile:82)
	at com.journeyapps.barcodescanner.c$1.a(SourceFile:75)
	at com.journeyapps.barcodescanner.DecoratedBarcodeView$b.a(SourceFile:49)
	at com.journeyapps.barcodescanner.BarcodeView$1.handleMessage(SourceFile:52)
	at android.os.Handler.dispatchMessage(Handler.java:98)
	at android.os.Looper.loop(Looper.java:145)
	at android.app.ActivityThread.main(ActivityThread.java:6117)
	at java.lang.reflect.Method.invoke(Native Method)
	at java.lang.reflect.Method.invoke(Method.java:372)
	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:1399)
	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:1194)
Caused by: java.io.FileNotFoundException: This file can not be opened as a file descriptor; it is probably compressed
	at android.content.res.AssetManager.openNonAssetFdNative(Native Method)
	at android.content.res.AssetManager.openNonAssetFd(AssetManager.java:443)
	at android.content.res.Resources.openRawResourceFd(Resources.java:2319)
	... 12 more",antoninovitale,2017-03-23 11:07:02
775,2017-03-23 11:07:02,This isn't an app problem. SOmething's wrong with your Android or build.,srowen,2017-03-23 11:07:02
775,2017-03-23 11:44:40,"It happens in a number of devices (Galaxy S5, Galaxy A7, Galaxy Note4, Galaxy A5, Galaxy Tab2 10.1, Google Pixel, Galaxy Alpha, Galaxy S7, ...), I checked the apk file running ""unzip -lv <file_name>.apk"" and the zxing_beep.ogg is not compressed apparently.
I don't think it's a problem of the build, is there anyway to disable that beep programmatically?",antoninovitale,2017-03-23 11:07:02
774,2017-03-22 14:46:51,"Is there a mapping from ZXing version to JDK version?
I'm trying to decide if I need to explicitly set the JDK version that I used for my build in the manifest file.
example: 
zxing 2.2  -->jdk 1.6 above
zxing 2.3  -->jdk 1.7 above
Waiting for your help , your reply will be appreciate!",tinkokuhei,2017-03-22 14:50:49
774,2017-03-22 14:50:49,"Questions should go to the mailing list, but you can also find that release 3.0.0 requires Java 7+ from the Releases tab. Before that, I believe 2.x required Java 6, and before that it was Java 4+.",srowen,2017-03-22 14:50:49
774,2017-03-22 15:16:06,"Thanks for your answer. I search the realse tab. I find the description of the java version .
But I find that the earliest version of ZXing is 2.3.0. Where can I find the old version source file and description  of zxing .Example: ZXing 2.2.0,etc.
Waiting for your help , your reply will be appreciate!",tinkokuhei,2017-03-22 14:50:49
773,2017-03-22 02:24:15,"sorry i'm poor in english

![alt text](http://img.blog.csdn.net/20150630112039097?watermark/2/text/aHR0cDovL2Jsb2cuY3Nkbi5uZXQvYW9jaHVhbmd1eWluZw==/font/5a6L5L2T/fontsize/400/fill/I0JBQkFCMA==/dissolve/70/gravity/Center ""title"")",vickyleu,2017-03-22 04:59:22
773,2017-03-22 04:59:22,"It does decode:

https://zxing.org/w/decode?u=https%3A%2F%2Fcamo.githubusercontent.com%2F681d8ccfe1b30ec5a85f2b982aa0c542e24000ec%2F687474703a2f2f696d672e626c6f672e6373646e2e6e65742f32303135303633303131323033393039373f77617465726d61726b2f322f746578742f6148523063446f764c324a736232637559334e6b626935755a5851765957396a61485668626d643165576c755a773d3d2f666f6e742f3561364c354c32542f666f6e7473697a652f3430302f66696c6c2f49304a42516b46434d413d3d2f646973736f6c76652f37302f677261766974792f43656e746572",srowen,2017-03-22 04:59:22
773,2017-03-23 05:20:34,Barcode Scanner 4.7.6 demo application identification too slow ,vickyleu,2017-03-22 04:59:22
773,2017-03-23 15:44:31,"is  reappear on Dual camera phone (huawei p8 ,android 7.0)or nubia  NX512J (arm64-v8a Android 5.1.1,level 22),any other phones is work smoothly",vickyleu,2017-03-22 04:59:22
772,2017-03-19 17:57:04,"Hi!
I'm trying to scan large Aztec code (size 151x151 modules). Unfortunately scanner don't recognize them.
I've read that it's not only my problem.

Platform: Android

Example Aztec code:
![407sw](https://cloud.githubusercontent.com/assets/283599/24083353/f32cdd3c-0cd5-11e7-8dc0-0a8cb83d2f12.jpg)
",mokry,2017-03-19 20:34:00
772,2017-03-19 20:34:00,I think it is just too big to read. A bit flatter and clearer would probably work. ,srowen,2017-03-19 20:34:00
772,2017-03-19 20:37:37,"Unfortunately presented code is not generated by my system, but it's needed to red in polish vehicle registration card. 
Is there any possibility to read this code by zxing library? Maybe you should pull request for some optimization in the source code?",mokry,2017-03-19 20:34:00
772,2017-03-19 20:39:58,"My system read it once but can't anymore (400 error on ship.ly something).
Try flatter like Sean said.

-LP

Tous droits réservés. 2009 - 2017.

This email may be confidential. Any distribution, use or copying of this
email or the information it contains by other than an intended recipient is
unauthorized. If you received this email in error, please advise me (by
return email or otherwise) immediately.

Ce courriel est confidentiel. Toute diffusion, utilisation ou copie de ce
message ou des renseignements qu'il contient par une personne autre que les
destinataires désignés est interdite. Si vous recevez ce courriel par
erreur, veuillez m'en aviser immédiatement, par retour de courriel ou par
un autre moyen.

Este mensaje es confidencial. Cualquier distribución, uso o copia del
mensaje o de la información en el contenido por otras personas distintas de
los destinatarios esta prohibida. Si usted recibe este mensaje por error,
por favor comuníquemelo inmediatamente mediante reenvío del mensaje o por
otro medio.


On Sun, Mar 19, 2017 at 4:37 PM, Michał <notifications@github.com> wrote:

> Unfortunately presented code is not generated by my system, but it's
> needed to red in polish vehicle registration card.
> Is there any possibility to read this code by zxing library? Maybe some
> optimization in the source code?
>
> —
> You are receiving this because you are subscribed to this thread.
> Reply to this email directly, view it on GitHub
> <https://github.com/zxing/zxing/issues/772#issuecomment-287645578>, or mute
> the thread
> <https://github.com/notifications/unsubscribe-auth/AAYZZX5qPNHkTF_zlNoQFwojsHkjcYSjks5rnZITgaJpZM4Mhz-W>
> .
>
",lpbellier,2017-03-19 20:34:00
772,2017-03-19 20:42:42,"@lpbellier, what you mean by flatter?",mokry,2017-03-19 20:34:00
772,2017-03-19 20:46:14,"Look at bottom right, it moves. Try shooting the picture flatter.
Or put sign on flatter surface maybe. It worked once.

               Louis-Philippe Bellier
               Consultant www/seo
        Sécurité/Ergonomie/E-Commerce
            Cell: 1.514.806.6233


Tous droits réservés. 2009 - 2017.

This email may be confidential. Any distribution, use or copying of this
email or the information it contains by other than an intended recipient is
unauthorized. If you received this email in error, please advise me (by
return email or otherwise) immediately.

Ce courriel est confidentiel. Toute diffusion, utilisation ou copie de ce
message ou des renseignements qu'il contient par une personne autre que les
destinataires désignés est interdite. Si vous recevez ce courriel par
erreur, veuillez m'en aviser immédiatement, par retour de courriel ou par
un autre moyen.

Este mensaje es confidencial. Cualquier distribución, uso o copia del
mensaje o de la información en el contenido por otras personas distintas de
los destinatarios esta prohibida. Si usted recibe este mensaje por error,
por favor comuníquemelo inmediatamente mediante reenvío del mensaje o por
otro medio.


On Sun, Mar 19, 2017 at 4:43 PM, Michał <notifications@github.com> wrote:

> @lpbellier <https://github.com/lpbellier>, what you mean by flatter?
>
> —
> You are receiving this because you were mentioned.
> Reply to this email directly, view it on GitHub
> <https://github.com/zxing/zxing/issues/772#issuecomment-287645926>, or mute
> the thread
> <https://github.com/notifications/unsubscribe-auth/AAYZZfjF6KBf396qRGgJPLE0Su0JKLSQks5rnZNWgaJpZM4Mhz-W>
> .
>
",lpbellier,2017-03-19 20:34:00
771,2017-03-18 22:55:23,"When I try to build my Android project, I get a warning with the following text:
AGPBI: {""kind"":""warning"",""text"":""The field Intent.FLAG_ACTIVITY_CLEAR_WHEN_TASK_RESET is deprecated"",""sources"":[{""file"":""C:\\Users\\OMCSESZ\\AndroidStudioProjects\\VIPCardApp\\app\\src\\main\\java\\hu\\example\\omcsesz\\vipcardapp\\IntentIntegrator.java"",""position"":{""startLine"":322,""startColumn"":35}}]}

Java version: 1.8.0_121
Android Studio version: 2.3
Gradle version: 3.4.1
",Omcsesz,2017-03-19 02:12:45
771,2017-03-19 02:12:45,Not a problem and not related to Java.  This constant is deprecated in newer Android but is used for backward compatibility,srowen,2017-03-19 02:12:45
770,2017-03-16 12:06:13,"ZXing in version 4.7.6 is unable to recognize the attached  Interleaved 2 of 5 barcodes.

![i2o5](https://cloud.githubusercontent.com/assets/8568433/23995291/2e5b67fa-0a49-11e7-82cf-95d490479bc1.png)
",vmerkel,2017-03-16 13:35:30
770,2017-03-16 13:35:30,"I think the lines are too fat, so it ends up being out of spec. It is likely not really a problem with the code therefore, but if you have a change to suggest that doesn't harm performance elsewhere I can look at it.",srowen,2017-03-16 13:35:30
769,2017-03-10 12:30:48,"I am not able to read PDF 417 in my application,

As per the SO answer here [http://stackoverflow.com/a/9239991/1225413](url). I need to enable PDF 417. 

My code is as follows

<S_CODE_TOKEN>


How to enable PDF417 ?",jainakhil88,2017-03-10 12:37:33
769,2017-03-10 12:41:12,"Please help, before closing at-least answer, what is missing in my code?
What needs to be done to solve the issue?",jainakhil88,2017-03-10 12:37:33
768,2017-03-08 10:41:35,"I've implementend a .net app using zxing barcodereader, it work well but in some case the barcode isn't catch. The barcode image is here https://ibb.co/frUZQa

I've tried other tool and some work some not.

The code c# is simple : 
 
            BarcodeReader reader = new BarcodeReader();
            reader.Options = new ZXing.Common.DecodingOptions();
            reader.Options.PossibleFormats = new List<ZXing.BarcodeFormat>() {
                    ZXing.BarcodeFormat.CODE_128
                };
            reader.Options.TryHarder = true;
            reader.Options.PureBarcode = false;
            reader.AutoRotate = true;

            List<string> codes = new List<string>();
            foreach (var image in ScannedImages)
            {
                var result = reader.Decode((Bitmap)image);
                if (result != null)
                {
                    codes.Add(result.Text);
                }
            }
            return codes;

",paraflu,2017-03-08 10:52:50
