issue_num,datetime,body,login,mention_login
772,2017-03-19 20:42:42,"@lpbellier, what you mean by flatter?",mokry,lpbellier
772,2017-03-19 20:46:14,"Look at bottom right, it moves. Try shooting the picture flatter.
Or put sign on flatter surface maybe. It worked once.

               Louis-Philippe Bellier
               Consultant www/seo
        Sécurité/Ergonomie/E-Commerce
            Cell: 1.514.806.6233


Tous droits réservés. 2009 - 2017.

This email may be confidential. Any distribution, use or copying of this
email or the information it contains by other than an intended recipient is
unauthorized. If you received this email in error, please advise me (by
return email or otherwise) immediately.

Ce courriel est confidentiel. Toute diffusion, utilisation ou copie de ce
message ou des renseignements qu'il contient par une personne autre que les
destinataires désignés est interdite. Si vous recevez ce courriel par
erreur, veuillez m'en aviser immédiatement, par retour de courriel ou par
un autre moyen.

Este mensaje es confidencial. Cualquier distribución, uso o copia del
mensaje o de la información en el contenido por otras personas distintas de
los destinatarios esta prohibida. Si usted recibe este mensaje por error,
por favor comuníquemelo inmediatamente mediante reenvío del mensaje o por
otro medio.


On Sun, Mar 19, 2017 at 4:43 PM, Michał <notifications@github.com> wrote:

> @lpbellier <https://github.com/lpbellier>, what you mean by flatter?
>
> —
> You are receiving this because you were mentioned.
> Reply to this email directly, view it on GitHub
> <https://github.com/zxing/zxing/issues/772#issuecomment-287645926>, or mute
> the thread
> <https://github.com/notifications/unsubscribe-auth/AAYZZfjF6KBf396qRGgJPLE0Su0JKLSQks5rnZNWgaJpZM4Mhz-W>
> .
>
",lpbellier,lpbellier
756,2017-02-19 02:35:41,"@srowen, yes, you're correct, whoops. I'm currently porting the 1D barcode code to JavaScript as part of extending [Schibum/barcode.js](https://github.com/Schibum/barcode.js/) to also work with 1D barcodes which is why I noticed this. Having the array be too large was causing a failure because of a for loop over the patterns running into uninitialized values (NaN). Since arrays in JavaScript are dynamic by making it 9 instead of 10 it still worked because the array just expanded to 10 and I didn't notice. Too many late nights, not enough coffee.

