issue_num,datetime,body,login,mention_login
756,2017-02-19 02:35:41,"@srowen, yes, you're correct, whoops. I'm currently porting the 1D barcode code to JavaScript as part of extending [Schibum/barcode.js](https://github.com/Schibum/barcode.js/) to also work with 1D barcodes which is why I noticed this. Having the array be too large was causing a failure because of a for loop over the patterns running into uninitialized values (NaN). Since arrays in JavaScript are dynamic by making it 9 instead of 10 it still worked because the array just expanded to 10 and I didn't notice. Too many late nights, not enough coffee.

I'll fix pull request to change it to 10.",dsanders11,srowen
725,2016-12-20 09:56:52,"@srowen Android has a strict rule that you shouldn't perform long running executions on the main thread, this essentially follows that principle and offloads `camera.open()` to background worker thread, I can add more improvements on this where in I also offload `camera.release()` to this worker thread. Blocking the UI thread is a no no in my book, also the difference in User experience is that of between heaven and earth. You can run the apk on your device and have a look yourself. There is a 50-100 frames drop due to the `camera.open` call which is removed in this PR.",bhargavms,srowen
725,2016-12-24 18:12:18,"@srowen any updates on this? Can you at least explain why you are adamant about not having this feature put in? I mean it doesn't beak anything, and it actually improves activity launch speed, I have tested this on more than 10 manufacturer devices (including samsung) and it works perfectly normal. May I know whats keeping you apprehensive?",bhargavms,srowen
725,2017-01-02 06:01:52,"@srowen from my personal testing I have observed that the scan speed deteriorates due to this change, could you hopefully shed some light on why this might happen? I will update the PR with a fix, as far as I can observer that is the only issue I have encountered so far with the change.",bhargavms,srowen
725,2017-01-06 14:24:08,"@srowen Well the reason I'm suggesting this change is because I've gotten complaints from users that the app stutters when opening the QrScanner (CaptureActivity). 
On old devices `Camera.open()` takes more than 100ms which creates a bad user experience. This change smooths it out.
Anyway like you said a change like this has to be backed up by lot of testing, the reason I gave the PR is in hopes of getting some help in testing and possibly fixing the qr scan speed which I'm not able to figure out.",bhargavms,srowen
682,2016-10-04 16:19:08,"@srowen, Actually it happens less frequently, if you test for so many time, then you can face this issue. If you again send app to background and again bring it to front then it again works.

Anyways, what is the use of that setting option ? I don't find any difference whether it is on or off ?
",BS987,srowen
663,2016-08-31 13:08:45,"

—You are receiving this because you authored the thread.Reply to this email directly, view it on GitHub, or mute the thread.

{""api_version"":""1.0"",""publisher"":{""api_key"":""05dde50f1d1a384dd78767c55493e4bb"",""name"":""GitHub""},""entity"":{""external_key"":""github/zxing/zxing"",""title"":""zxing/zxing"",""subtitle"":""GitHub repository"",""main_image_url"":""https://cloud.githubusercontent.com/assets/143418/17495839/a5054eac-5d88-11e6-95fc-7290892c7bb5.png"",""avatar_image_url"":""https://cloud.githubusercontent.com/assets/143418/15842166/7c72db34-2c0b-11e6-9aed-b52498112777.png"",""action"":{""name"":""Open in GitHub"",""url"":""https://github.com/zxing/zxing""}},""updates"":{""snippets"":[{""icon"":""PERSON"",""message"":""@srowen in #663: This is an invalid QR code. Look at the trimmed edges. It may eventually be scanned, but that's the problem.""}],""action"":{""name"":""View Issue"",""url"":""https://github.com/zxing/zxing/issues/663#issuecomment-243752945""}}}
",leoaran,srowen
662,2016-10-21 03:29:34,"@srowen 
there  are two library, which named library1 and library2.  library1 contain the  compile 'com.google.zxing:core:3.2.1'  library2 contain compile 'me.dm7.barcodescanner:zxing:1.9'. 
but the library which name is 'me.dm7.barcodescanner:zxing:1.9' contain the com.google.zxing  too.
project use library1 and library2 ,when i gradle assembleRelease the project, log the follow error:
- What went wrong:
  Execution failed for task ':app:transformClassesWithJarMergingForRelease'.
  > com.android.build.api.transform.TransformException: java.util.zip.ZipException                                  : duplicate entry: com/google/zxing/aztec/AztecDetectorResult.class

do you have some method to fix this problem?
",chaozaiai,srowen
654,2017-01-15 10:54:20,Thanks @PedPak I merged this at last after a rebase. ,srowen,PedPak
644,2016-08-12 11:07:51,"@srowen: I feel competent to modify [DecoderResult](https://github.com/zxing/zxing/blob/master/core/src/main/java/com/google/zxing/common/DecoderResult.java#L28) to add a getRawBytesBitSize() method, but not to modify (and test) [decode.jspx](https://github.com/zxing/zxing/blob/master/zxingorg/src/main/webapp/w/decoderesult.jspx) and whatever else might be needed to make use of getRawBytesBitSize(); thus the change would not be so directly useful, when changing the polarity of filler bits for Aztec code is easier and immediately useful.

Also, if I go the getRawBytesBitSize() path, I hesitate between:
- a third DecoderResult creator allowing to specify RawBytesBitSize;
- keeping the existing two creators, and adding a setRawBytesBitSize() for internal use;
- modifying at least one of the existing two creators to add a RawBytesBitSize parameter, and modifying the few uses;
- while I'm at changing the syntax of creator(s), unifying the two existing ones;
- so many other options, including instead adding a getRawBits() returning a BitArray (an existing but non-native type), or a new similar type internally based on a byte array so that getRawBytes() could return just that array.

Independently: where should what getRawBytes() actually returns for Aztec code be documented?
",fgrieu,srowen
617,2016-06-23 10:33:05,"Hi @srowen ,

Thank you for your reply and for the great work with the Zxing project.

I am running my own copy of zxing.org but I do not keep it up when I am not using it so I couldn ask for support on a dead server. My final implementation will work only with my copy.

The problem I am facing is probably with the requests that zxing.org accepts. Does it accept XHR calls? How can I apply this fix [(link)](https://github.com/swagger-api/swagger-editor/blob/master/docs/cors.md) on my copy ?

Thank you in advance.
",trifwnas,srowen
617,2016-06-27 20:23:35,"Hi @srowen ,

XHR is basically AJAX.

I am writing to let you know that I have figured out how to communicate with my own copy of zxing.org and it seems that probably the one which is hosted in zxing.org does not accept CORS (Cross-Origin Resource Sharing) or maybe it allows specific urls but not the one I was trying from.

Thank you for your help anyways.
",trifwnas,srowen
587,2016-04-30 17:11:34,"@srowen  its better to update docs for newbies .
Thanks
",mushahidh,srowen
578,2016-05-09 14:11:39,"@tanelihuuskonen thanks for checking this out! I agree that a corner case in the driver is likely as I've never run into this exception before or since. What checks should I perform on the preview frame received from the camera to validate it before passing it into the QRCodeReader? Or would it be better to make no assumptions about the preview frame and just catch the exception in the rare case that the frame is invalid?
",akwizgran,tanelihuuskonen
576,2016-12-15 01:20:29,"@srowen I debugged the code, and found that when rotating the screen such as 180 degree, the activity did not invoke the onResume() method, so camera parameters were not been resetting, so we often got wrong surface preview when rotating.
**So the key to solve this problem is catching this event and resetting camera parameters.**
I give one solution,it may not be a perfect one,but it is workable。
1. add inner clase in CaptureActivity.class 

2.add in onCreate()
`
3.add in orientation setting of onResume()

4.add in onPause()
",GuoJinyu,srowen
574,2016-04-05 03:08:35,"@srowen so, if i want to scan  UPC_E UPC_A QR_CODE format at the same time, how can i do that?  it seems zxing decode the qr code as a barcode, so it return a random number, what do you mean a  non-photo image?  can you explain that..... i am sorry for my bad english.
",vagrant1991,srowen
571,2016-03-17 10:44:51,"@srowen My mistake. We are using the ZXing library for scanning QR codes in Android. In essence it's like this:



The `Log.d()` line at the end prints the raw string that was in the QR code. Basically if we scan a QR code that contains a JSON string, some devices produce the JSON string with extraneous characters while some don't.
",manabreak,srowen
571,2016-03-17 10:47:58,"@srowen I'm not sure I follow. The output of the decoding varies from device to device when the input and the whole codebase remains the same.
",manabreak,srowen
571,2016-03-17 11:04:11,"@srowen They are not part of the QR code.
",manabreak,srowen
571,2016-03-17 11:15:27,"@srowen You can try any QR code generator and type the JSON I mentioned.
",manabreak,srowen
